Column1;Document Title;Authors;Publication Title;Publication Year;DOI;PDF Link
288;Throughput maximization for online request admissions in mobile cloudlets;"Q. Xia; W. Liang; W. Xu";38th Annual IEEE Conference on Local Computer Networks;20130;10.1109/LCN.2013.6761295;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6761295
289;A Virtual Machine Placement Taxonomy;"F. L. Pires; B. Barán";2015 15th IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing;20150;10.1109/CCGrid.2015.15;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7152482
290;SLAC: A Formal Service-Level-Agreement Language for Cloud Computing;"R. B. Uriarte; F. Tiezzi; R. De Nicola";2014 IEEE/ACM 7th International Conference on Utility and Cloud Computing;20140;10.1109/UCC.2014.53;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7027520
291;Selling T-shirts and Time Shares in the Cloud;"D. Gmach; J. Rolia; L. Cherkasova";2012 12th IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing (ccgrid 2012);20120;10.1109/CCGrid.2012.68;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6217464
293;Towards optimal outsourcing of service function chain across multiple clouds;"H. Chen; S. Xu; X. Wang; Y. Zhao; K. Li; Y. Wang; W. Wang; L. M. Li";2016 IEEE International Conference on Communications (ICC);20160;10.1109/ICC.2016.7510996;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7510996
294;Global IT Manageability Policies across Service Boundaries in a Cloud Environment;"E. Castro-Leon; R. Yeluri; R. R. Harmon; J. M. Kennedy; A. Edmonds; J. Wheeler; J. M. Elicegui";2012 Annual SRII Global Conference;20120;10.1109/SRII.2012.48;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6311016
295;Modeling the use of spot instances for cost reduction in cloud computing adoption using a Petri net framework;"M. Ribas; C. G. Furtado; G. Barroso; A. S. Lima; N. Souza; A. Moura";2015 IFIP/IEEE International Symposium on Integrated Network Management (IM);20150;10.1109/INM.2015.7140507;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7140507
296;A comprehensive study on cloud service brokering architecture;"A. Koneru; M. Sreelatha";2017 International Conference on Computing Methodologies and Communication (ICCMC);20170;10.1109/ICCMC.2017.8282517;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8282517
297;Novel Service Broker and Load Balancing Policies for CloudSim-Based Visual Modeller;"S. K. Panda; K. Ramesh; K. Indraneel; M. Ramu; N. N. Damayanthi";2022 Seventh International Conference on Parallel, Distributed and Grid Computing (PDGC);20220;10.1109/PDGC56933.2022.10053311;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10053311
299;Cost-Driven Scheduling for Deadline-Based Workflow Across Multiple Clouds;"W. Guo; B. Lin; G. Chen; Y. Chen; F. Liang";IEEE Transactions on Network and Service Management;20180;10.1109/TNSM.2018.2872066;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8476198
300;Supporting Data-Intensive Workflows in Software-Defined Federated Multi-Clouds;"J. Diaz-Montes; M. Diaz-Granados; M. Zou; S. Tao; M. Parashar";IEEE Transactions on Cloud Computing;20180;10.1109/TCC.2015.2481410;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7274694
301;Service Migration Patterns -- Decision Support and Best Practices for the Migration of Existing Service-Based Applications to Cloud Environments;"C. Fehling; F. Leymann; S. T. Ruehl; M. Rudek; S. Verclas";2013 IEEE 6th International Conference on Service-Oriented Computing and Applications;20130;10.1109/SOCA.2013.41;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6717278
302;A Self-Adaptive Approach for Managing Applications and Harnessing Renewable Energy for Sustainable Cloud Computing;"M. Xu; A. N. Toosi; R. Buyya";IEEE Transactions on Sustainable Computing;20210;10.1109/TSUSC.2020.3014943;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9162490
303;Success Dimensions in Selecting Cloud Software Services;"F. Braithwaite; M. Woodman";2011 37th EUROMICRO Conference on Software Engineering and Advanced Applications;20110;10.1109/SEAA.2011.30;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6068338
304;Economic denial of sustainability (EDoS) mitigation approaches in cloud: Analysis and open challenges;"F. Z. Chowdhury; L. B. M. Kiah; M. A. M. Ahsan; M. Y. I. Bin Idris";2017 International Conference on Electrical Engineering and Computer Science (ICECOS);20170;10.1109/ICECOS.2017.8167135;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8167135
305;Cost-efficient partitioning of spatial data on cloud;"A. Akdogan; S. Indrakanti; U. Demiryurek; C. Shahabi";2015 IEEE International Conference on Big Data (Big Data);20150;10.1109/BigData.2015.7363792;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7363792
306;Cost-and-Delay Aware Dynamic Resource Allocation in Federated Vehicular Clouds;"M. Najm; M. Patra; V. Tamarapalli";IEEE Transactions on Vehicular Technology;20210;10.1109/TVT.2021.3079912;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9430741
307;A new live video streaming approach based on Amazon S3 pricing model;"Y. Tian; R. Babcock; C. Taylor; Y. Ji";2018 IEEE 8th Annual Computing and Communication Workshop and Conference (CCWC);20180;10.1109/CCWC.2018.8301615;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8301615
308;Inter-VM Interference in Cloud Environments: A Survey;"S. Amri; H. Hamdi; Z. Brahmi";2017 IEEE/ACS 14th International Conference on Computer Systems and Applications (AICCSA);20170;10.1109/AICCSA.2017.122;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8308278
309;SAHEFT: Security Aware Heterogeneous Earliest Finish Time Workflow Allocation Strategy for IaaS Cloud Environment;"M. Alam; M. Shahid; S. Mustajab";2021 IEEE Madras Section Conference (MASCON);20210;10.1109/MASCON51689.2021.9563503;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9563503
310;LPOD: A Local Path Based Optimized Scheduling Algorithm for Deadline-Constrained Big Data Workflows in the Cloud;"C. Bai; S. Lu; I. Ahmed; D. Che; A. Mohan";2019 IEEE International Congress on Big Data (BigDataCongress);20190;10.1109/BigDataCongress.2019.00018;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8818214
311;Deadline constrained load balancing level based workflow scheduling for cost optimization;"S. Omranian-Khorasani; M. Naghibzadeh";2017 2nd IEEE International Conference on Computational Intelligence and Applications (ICCIA);20170;10.1109/CIAPP.2017.8167191;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8167191
312;MCSA: A Multi-constraint Scheduling Algorithm for Real-time Task in Virtualized Cloud;"S. Sahoo; A. Pattanayak; K. S. Sahoo; B. Sahoo; A. K. Turuk";2018 15th IEEE India Council International Conference (INDICON);20180;10.1109/INDICON45594.2018.8987045;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8987045
313;Trust-based grouping for cloud datacenters: Improving security in shared infrastructures;"D. S. Marcon; R. R. Oliveira; M. C. Neves; L. S. Buriol; L. P. Gaspary; M. P. Barcellos";2013 IFIP Networking Conference;20130;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6663504
314;An Intelligent SLA based Cloudlet Allocation Strategy using Machine Learning;"V. Bajoria; Y. Agrawal; A. Katal";2018 Fifth International Conference on Parallel, Distributed and Grid Computing (PDGC);20180;10.1109/PDGC.2018.8745905;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8745905
315;A secure image retrieval method based on homomorphic encryption for cloud computing;"Y. Zhang; L. Zhuo; Y. Peng; J. Zhang";2014 19th International Conference on Digital Signal Processing;20140;10.1109/ICDSP.2014.6900669;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6900669
316;Resource Management for Uninterrupted Microgrid Operation;"P. K. Ghosh; M. Sahinoglu; V. V. Phoha";2019 IEEE 7th International Conference on Smart Energy Grid Engineering (SEGE);20190;10.1109/SEGE.2019.8859865;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8859865
317;Communication Latency Optimization for Mesos-based Cloud Computing Systems;"S. Huang; C. Chen; S. Zhang; J. Xin; Z. Wang; Z. Yu";2021 7th International Conference on Big Data and Information Analytics (BigDIA);20210;10.1109/BigDIA53151.2021.9619736;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9619736
320;Cocktail: A hybrid system combining Hadoop and Storm;"Y. Zhao; Y. Zhang; Y. Yao; Y. Li; P. Liu";2015 IEEE Advanced Information Technology, Electronic and Automation Control Conference (IAEAC);20150;10.1109/IAEAC.2015.7428510;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7428510
321;Is Public Cloud Computing Adoption Strategically the Way to Go for All the Enterprises?;"W. Hassan; T. -S. Chou; L. Pagliari; J. Pickard; O. Tamer";2019 IEEE 5th Intl Conference on Big Data Security on Cloud (BigDataSecurity), IEEE Intl Conference on High Performance and Smart Computing, (HPSC) and IEEE Intl Conference on Intelligent Data and Security (IDS);20190;10.1109/BigDataSecurity-HPSC-IDS.2019.00064;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8819479
322;Using the Cloud for Parameter Estimation Problems: Comparing Spark vs MPI with a Case-Study;"P. González; X. C. Pardo; D. R. Penas; D. Teijeiro; J. R. Banga; R. Doallo";2017 17th IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing (CCGRID);20170;10.1109/CCGRID.2017.58;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7973784
323;A clusterized firewall framework for cloud computing;"M. Liu; W. Dou; S. Yu; Z. Zhang";2014 IEEE International Conference on Communications (ICC);20140;10.1109/ICC.2014.6883911;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6883911
324;A Cost-Effective Certification-Based Service Composition for the Cloud;"M. Anisetti; C. A. Ardagna; E. Damiani; F. Gaudenzi";2016 IEEE International Conference on Services Computing (SCC);20160;10.1109/SCC.2016.15;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7557436
325;Evaluation on Applicability of Measurement-Based Join Cost Calculation Method Using Different Generation CPUs;"T. Tanaka; H. Ishikawa";2018 IEEE International Conference on Internet of Things (iThings) and IEEE Green Computing and Communications (GreenCom) and IEEE Cyber, Physical and Social Computing (CPSCom) and IEEE Smart Data (SmartData);20180;10.1109/Cybermatics_2018.2018.00314;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8726763
327;An Analysis of Provisioning and Allocation Policies for Infrastructure-as-a-Service Clouds;"D. Villegas; A. Antoniou; S. M. Sadjadi; A. Iosup";2012 12th IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing (ccgrid 2012);20120;10.1109/CCGrid.2012.46;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6217473
328;Resource Allocation for Cloud-Assisted Mobile Applications;"M. Ferber; T. Rauber; M. H. C. Torres; T. Holvoet";2012 IEEE Fifth International Conference on Cloud Computing;20120;10.1109/CLOUD.2012.75;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6253531
329;Big data analytics on HPC architectures: Performance and cost;"P. Xenopoulos; J. Daniel; M. Matheson; S. Sukumar";2016 IEEE International Conference on Big Data (Big Data);20160;10.1109/BigData.2016.7840861;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7840861
330;Datacenter Investment Support System (DAISY);"M. Hedwig; S. Malkowski; C. Bodenstein; D. Neumann";2010 43rd Hawaii International Conference on System Sciences;20100;10.1109/HICSS.2010.129;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5428555
331;Model-based platform design and evaluation of cloud-based cyber-physical systems (CCPS);"J. Dell; T. Greiner; W. Rosenstiel";2014 12th IEEE International Conference on Industrial Informatics (INDIN);20140;10.1109/INDIN.2014.6945542;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6945542
332;HRF (HTTP Request Filtering): A New Detection Mechanism of EDoS Attack on Cloud;"B. B. Rao; S. Bulla; K. G. Rao; K. Chandan";2019 International Carnahan Conference on Security Technology (ICCST);20190;10.1109/CCST.2019.8888431;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8888431
333;Design Considerations within Cloud Based System-of-Systems Architecture Framework;"J. Stark; C. Peng Lim; S. Nahavandi";2021 IEEE International Conference on Systems, Man, and Cybernetics (SMC);20210;10.1109/SMC52423.2021.9658624;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9658624
1;Enhancing Reliability of Workflow Execution Using Task Replication and Spot Instances;Poola D,Ramamohanarao K,Buyya R;;;10.1145/2815624;"https://doi.org/10.1145/2815624;http://dx.doi.org/10.1145/2815624"
2;Budget-Driven Scheduling of Scientific Workflows in IaaS Clouds with Fine-Grained Billing Periods;Rodriguez MA,Buyya R;;;10.1145/3041036;"https://doi.org/10.1145/3041036;http://dx.doi.org/10.1145/3041036"
3;MRShare: Sharing across Multiple Queries in MapReduce;Nykiel T,Potamias M,Mishra C,Kollios G,Koudas N;;;10.14778/1920841.1920906;"https://doi.org/10.14778/1920841.1920906;http://dx.doi.org/10.14778/1920841.1920906"
0;Pricing Models and Pricing Schemes of IaaS Providers: A Comparison Study;Murthy MK,Sanjay HA,Ashwini JP;;;10.1145/2345396.2345421;"https://doi.org/10.1145/2345396.2345421;http://dx.doi.org/10.1145/2345396.2345421"
1;An Integer Linear-Programming Based Resource Allocation Method for SQL-like Queries in the Cloud;Kandi MM,Yin S,Hameurlain A;;;10.1145/3167132.3167148;"https://doi.org/10.1145/3167132.3167148;http://dx.doi.org/10.1145/3167132.3167148"
2;The Pricing Model of Cloud Computing Services;Ma D,Huang J;;;10.1145/2346536.2346586;"https://doi.org/10.1145/2346536.2346586;http://dx.doi.org/10.1145/2346536.2346586"
3;Cloud Computing and Economic Growth;Konstantinos K,Persefoni M,Evangelia F,Christos M,Mara N;;;10.1145/2801948.2802000;"https://doi.org/10.1145/2801948.2802000;http://dx.doi.org/10.1145/2801948.2802000"
8;The PrimeGame Revolutions: A Cloud-Based Collaborative Environment for Teaching Introductory Programming;Dietrich J,Tandler J,Sui L,Meyer M;;;10.1145/2811681.2811683;"https://doi.org/10.1145/2811681.2811683;http://dx.doi.org/10.1145/2811681.2811683"
9;Public vs Private Cloud Usage Costs: The StratusLab Case;Konstantinou I,Floros E,Koziris N;;;10.1145/2168697.2168700;"https://doi.org/10.1145/2168697.2168700;http://dx.doi.org/10.1145/2168697.2168700"
10;Towards Independent Run-Time Cloud Monitoring;Klaver L,van der Knaap T,van der Geest J,Harmsma E,van der Waaij B,Pileggi P;;;10.1145/3447545.3451180;"https://doi.org/10.1145/3447545.3451180;http://dx.doi.org/10.1145/3447545.3451180"
11;A Game Theoretical Method for Auto-Scaling of Multi-Tiers Web Applications in Cloud;Chi R,Qian Z,Lu S;;;10.1145/2430475.2430478;"https://doi.org/10.1145/2430475.2430478;http://dx.doi.org/10.1145/2430475.2430478"
12;Modeling Web Usage Profiles of Cloud Services for Utility Cost Analysis;Idziorek J,Tannian M,Jacobson D;;;;https://ieeexplore.ieee.org/abstract/document/6148028
13;A Service-Oriented Architecture for Billing Resources in IaaS Cloud Platforms;Ponte N,Trinta F,Viana R,Andrade R,Garcia V,Assad R;;;10.1145/2695664.2719244;"https://doi.org/10.1145/2695664.2719244;http://dx.doi.org/10.1145/2695664.2719244"
14;Public Cloud Differential Pricing Design Under Provider and Tenants Joint Demand Response;Nasiriani N,Kesidis G,Wang D;;;10.1145/3208903.3208938;"https://doi.org/10.1145/3208903.3208938;http://dx.doi.org/10.1145/3208903.3208938"
17;LOOPS: A Holistic Control Approach for Resource Management in Cloud Computing;Al-Dulaimy A,Taheri J,Papadopoulos AV,Nolte T;;;10.1145/3427921.3450254;"https://doi.org/10.1145/3427921.3450254;http://dx.doi.org/10.1145/3427921.3450254"
18;Concurrent Placement, Capacity Provisioning, and Request Flow Control for a Distributed Cloud Infrastructure;Chen S,Wang Y,Pedram M;;;;https://ieeexplore.ieee.org/abstract/document/6800493
19;The Shared Assignment Game and Applications to Pricing in Cloud Computing;Blocq G,Bachrach Y,Key P;;;;
21;A Marketplace for Cloud Resources;Henzinger TA,Singh AV,Singh V,Wies T,Zufferey D;;;10.1145/1879021.1879022;"https://doi.org/10.1145/1879021.1879022;http://dx.doi.org/10.1145/1879021.1879022"
23;Exploiting Software Product Lines to Develop Cloud Computing Applications;Cavalcante E,Almeida A,Batista T,Cacho N,Lopes F,Delicato FC,Sena T,Pires PF;;;10.1145/2364412.2364442;"https://doi.org/10.1145/2364412.2364442;http://dx.doi.org/10.1145/2364412.2364442"
24;Parallel Analytics as a Service;Wong P,He Z,Lo E;;;10.1145/2463676.2463714;"https://doi.org/10.1145/2463676.2463714;http://dx.doi.org/10.1145/2463676.2463714"
25;Pricing Models in Cloud Computing;Kansal S,Singh G,Kumar H,Kaushal S;;;10.1145/2677855.2677888;"https://doi.org/10.1145/2677855.2677888;http://dx.doi.org/10.1145/2677855.2677888"
26;Cost Models for View Materialization in the Cloud;Nguyen TA,Bimonte S,d'Orazio L,Darmont J;;;10.1145/2320765.2320788;"https://doi.org/10.1145/2320765.2320788;http://dx.doi.org/10.1145/2320765.2320788"
28;Dynamic Server Provisioning to Minimize Cost in an IaaS Cloud;Hong YJ,Xue J,Thottethodi M;;;10.1145/1993744.1993799;"https://doi.org/10.1145/1993744.1993799;http://dx.doi.org/10.1145/1993744.1993799"
30;Inventory Theory Applied to Cost Optimization in Cloud Computing;Nodari A,Nurminen JK,Frühwirth C;;;10.1145/2851613.2851869;"https://doi.org/10.1145/2851613.2851869;http://dx.doi.org/10.1145/2851613.2851869"
33;A Game Theoretic Resource Allocation for Overall Energy Minimization in Mobile Cloud Computing System;Ge Y,Zhang Y,Qiu Q,Lu YH;;;10.1145/2333660.2333724;"https://doi.org/10.1145/2333660.2333724;http://dx.doi.org/10.1145/2333660.2333724"
36;Estimating Resource Costs of Data-Intensive Workloads in Public Clouds;Mian R,Martin P,Zulkernine F,Vazquez-Poletti JL;;;10.1145/2405136.2405139;"https://doi.org/10.1145/2405136.2405139;http://dx.doi.org/10.1145/2405136.2405139"
37;ElastMan: Autonomic Elasticity Manager for Cloud-Based Key-Value Stores;Al-Shishtawy A,Vlassov V;;;10.1145/2493123.2462925;"https://doi.org/10.1145/2493123.2462925;http://dx.doi.org/10.1145/2493123.2462925"
38;Automated Negotiation with Decommitment for Dynamic Resource Allocation in Cloud Computing;An B,Lesser V,Irwin D,Zink M;;;;
40;Cost Adaptive Workflow Scheduling in Cloud Computing;Kang DK,Kim SH,Youn CH,Chen M;;;10.1145/2557977.2558079;"https://doi.org/10.1145/2557977.2558079;http://dx.doi.org/10.1145/2557977.2558079"
43;Large Scale Real-Time Distributed Systems – Resource Allocation and Scheduling Issues;Karatza H;;;10.1145/3459960.3461561;"https://doi.org/10.1145/3459960.3461561;http://dx.doi.org/10.1145/3459960.3461561"
44;Multi-Objective Query Optimization in Spark SQL;Georgoulakis Misegiannis M,Kantere Vverena,d'Orazio L;;;10.1145/3548785.3548800;"https://doi.org/10.1145/3548785.3548800;http://dx.doi.org/10.1145/3548785.3548800"
45;SpotADAPT: Spot-Aware (Re-)Deployment of Analytical Processing Tasks on Amazon EC2;Kaulakienundefined D,Thomsen C,Pedersen TB,Çetintemel U,Kraska T;;;10.1145/2811222.2811227;"https://doi.org/10.1145/2811222.2811227;http://dx.doi.org/10.1145/2811222.2811227"
46;Tradeoffs Between Profit and Customer Satisfaction for Service Provisioning in the Cloud;Chen J,Wang C,Zhou BB,Sun L,Lee YC,Zomaya AY;;;10.1145/1996130.1996161;"https://doi.org/10.1145/1996130.1996161;http://dx.doi.org/10.1145/1996130.1996161"
47;Static Pricing: Universal Guarantees for Reusable Resources;Besbes O,Elmachtoub AN,Sun Y;;;10.1145/3328526.3329585;"https://doi.org/10.1145/3328526.3329585;http://dx.doi.org/10.1145/3328526.3329585"
48;Exploring the Cost and Performance Benefits of AWS Step Functions Using a Data Processing Pipeline;Mathew A,Andrikopoulos V,Blaauw FJ;;;10.1145/3468737.3494084;"https://doi.org/10.1145/3468737.3494084;http://dx.doi.org/10.1145/3468737.3494084"
2;Dolly: Virtualization-Driven Database Provisioning for the Cloud;Cecchet E,Singh R,Sharma U,Shenoy P;;;10.1145/1952682.1952691;"https://doi.org/10.1145/1952682.1952691;http://dx.doi.org/10.1145/1952682.1952691"
6;An Extended Roofline Model with Communication-Awareness for Distributed-Memory HPC Systems;Cardwell D,Song F;;;10.1145/3293320.3293321;"https://doi.org/10.1145/3293320.3293321;http://dx.doi.org/10.1145/3293320.3293321"
7;Benchmarking OLTP/Web Databases in the Cloud: The OLTP-Bench Framework;Curino CA,Difallah DE,Pavlo A,Cudre-Mauroux P;;;10.1145/2390021.2390025;"https://doi.org/10.1145/2390021.2390025;http://dx.doi.org/10.1145/2390021.2390025"
8;A Blockchain-Based, Distributed, Self Hosted And End To End Encrypted Cloud Storage System;M S,S SP;;;10.1145/3590837.3590922;"https://doi.org/10.1145/3590837.3590922;http://dx.doi.org/10.1145/3590837.3590922"
0;Quasi Oppositional Dragonfly Algorithm for Load Balancing in Cloud Computing Environment;T. P. LatchoumiLatha Parthiban;Wireless Personal Communications;20220;10.1007/s11277-021-09022-w;http://link.springer.com/article/10.1007/s11277-021-09022-w
1;Intermediate data fault-tolerant method of cloud computing accounting service platform supporting cost-benefit analysis;Taolan JinBo Zhang;Journal of Cloud Computing;20230;10.1186/s13677-022-00385-4;http://link.springer.com/article/10.1186/s13677-022-00385-4
2;Integrating peer-to-peer and cloud computing for massively multiuser online games;Hanna KavalionakEmanuele CarliniLaura RicciAlberto MontresorMassimo Coppola;Peer-to-Peer Networking and Applications;20150;10.1007/s12083-013-0232-4;http://link.springer.com/article/10.1007/s12083-013-0232-4
5;An effective meta-heuristic based multi-objective hybrid optimization method for workflow scheduling in cloud computing environment;Jabir Kakkottakath Valappil ThekkepuryilDavid Peter SuseelanPreetha Mathew Keerikkattil;Cluster Computing;20210;10.1007/s10586-021-03269-5;http://link.springer.com/article/10.1007/s10586-021-03269-5
6;Recent advancement in VM task allocation system for cloud computing: review from 2015 to2021;Arif UllahNazri Mohd NawiSoukaina Ouhame;Artificial Intelligence Review;20220;10.1007/s10462-021-10071-7;http://link.springer.com/article/10.1007/s10462-021-10071-7
7;Energy-efficient offloading of real-time tasks using cloud computing;Suzanne ElashriAkramul Azim;Cluster Computing;20200;10.1007/s10586-020-03086-2;http://link.springer.com/article/10.1007/s10586-020-03086-2
8;Relative weight comparison between virtual key factors of cloud computing with analytic network process;Cheol-Rim ChoiHwa-Young JeongJong Hyuk ParkHaeng Jin JangYoung-Sik Jeong;The Journal of Supercomputing;20160;10.1007/s11227-014-1311-x;http://link.springer.com/article/10.1007/s11227-014-1311-x
10;A Hybrid Meta-Heuristic for Optimal Load Balancing in Cloud Computing;G. Annie Poornima PrincessA. S. Radhamani;Journal of Grid Computing;20210;10.1007/s10723-021-09560-4;http://link.springer.com/article/10.1007/s10723-021-09560-4
11;Recent advancements in resource allocation techniques for cloud computing environment: a systematic review;Syed Hamid Hussain MadniMuhammad Shafie Abd LatiffYahaya CoulibalyShafi’i Muhammad Abdulhamid;Cluster Computing;20170;10.1007/s10586-016-0684-4;http://link.springer.com/article/10.1007/s10586-016-0684-4
12;An elastic controller using Colored Petri Nets in cloud computing environment;Ali ShahidinejadMostafa Ghobaei-AraniLeila Esmaeili;Cluster Computing;20200;10.1007/s10586-019-02972-8;http://link.springer.com/article/10.1007/s10586-019-02972-8
13;Distributed machine learning load balancing strategy in cloud computing services;Mingwei LiJilin ZhangJian WanYongjian RenLi ZhouBaofu WuRui YangJue Wang;Wireless Networks;20200;10.1007/s11276-019-02042-2;http://link.springer.com/article/10.1007/s11276-019-02042-2
14;Dynamic provisioning of resources based on load balancing and service broker policy in cloud computing;Amrita JyotiManish Shrimali;Cluster Computing;20200;10.1007/s10586-019-02928-y;http://link.springer.com/article/10.1007/s10586-019-02928-y
15;A novel method for adaptive fault tolerance during load balancing in cloud computing;T. TamilvizhiB. Parvathavarthini;Cluster Computing;20190;10.1007/s10586-017-1038-6;http://link.springer.com/article/10.1007/s10586-017-1038-6
17;A Review on Data Access Control Schemes in Mobile Cloud Computing: State-of-the-Art Solutions and Research Directions;Somchart FugkeawPattavee Sanchol;SN Computer Science;20210;10.1007/s42979-021-00917-w;http://link.springer.com/article/10.1007/s42979-021-00917-w
18;Blockchain-based cloudlet management for multimedia workflow in mobile cloud computing;Xiaolong XuYi ChenYuan YuanTao HuangXuyun ZhangLianyong Qi;Multimedia Tools and Applications;20200;10.1007/s11042-019-07900-x;http://link.springer.com/article/10.1007/s11042-019-07900-x
20;Bi-objective scheduling algorithm for scientific workflows on cloud computing platform with makespan and monetary cost minimization approach;Mirsaeid Hosseini ShirvaniReza Noorian Talouki;Complex & Intelligent Systems;20220;10.1007/s40747-021-00528-1;http://link.springer.com/article/10.1007/s40747-021-00528-1
21;Cloudy transaction costs: a dive into cloud computing economics;Rasha Makhlouf;Journal of Cloud Computing;20200;10.1186/s13677-019-0149-4;http://link.springer.com/article/10.1186/s13677-019-0149-4
22;Exploring the factors influencing the cloud computing adoption: a systematic study on cloud migration;Rashmi RaiGadadhar SahooShabana Mehfuz;SpringerPlus;20150;10.1186/s40064-015-0962-2;http://link.springer.com/article/10.1186/s40064-015-0962-2
23;Intelligent algorithms for cold chain logistics distribution optimization based on big data cloud computing analysis;Yi-hua Chen;Journal of Cloud Computing;20200;10.1186/s13677-020-00174-x;http://link.springer.com/article/10.1186/s13677-020-00174-x
24;Sunflower Whale Optimization Algorithm for Resource Allocation Strategy in Cloud Computing Platform;Ligade Sunil SubhashR. Udayakumar;Wireless Personal Communications;20210;10.1007/s11277-020-07835-9;http://link.springer.com/article/10.1007/s11277-020-07835-9
26;Quality evaluation and best service choice for cloud computing based on user preference and weights of attributes using the analytic network process;Cheol-Rim ChoiHwa-Young Jeong;Electronic Commerce Research;20140;10.1007/s10660-014-9156-1;http://link.springer.com/article/10.1007/s10660-014-9156-1
27;SecAuth-SaaS: a hierarchical certificateless aggregate signature for secure collaborative SaaS authentication in cloud computing;Deepnarayan TiwariG. R. Gangadharan;Journal of Ambient Intelligence and Humanized Computing;20210;10.1007/s12652-020-02864-5;http://link.springer.com/article/10.1007/s12652-020-02864-5
28;Risks and rewards of cloud computing in the UK public sector: A reflection on three Organisational case studies;Steve JonesZahir IraniUthayasankar SivarajahPeter E. D. Love;Information Systems Frontiers;20190;10.1007/s10796-017-9756-0;http://link.springer.com/article/10.1007/s10796-017-9756-0
0;A Cost Analysis of Cloud Computing for Education;Fernando KochMarcos D. AssunçãoMarco A. S. Netto;Economics of Grids, Clouds, Systems, and Services;20120;10.1007/978-3-642-35194-5_14;http://link.springer.com/chapter/10.1007/978-3-642-35194-5_14
1;Cost Analysis Comparing HPC Public Versus Private Cloud Computing;Patrick DreherDeepak NairEric SillsMladen Vouk;Cloud Computing and Services Science;20170;10.1007/978-3-319-62594-2_15;http://link.springer.com/chapter/10.1007/978-3-319-62594-2_15
2;Trust Integrated Federated Architecture Ranking Service Models in Cloud Computing Environment;M SaravananM Aramudhan;Proceedings of International Conference on Communication and Networks;20170;10.1007/978-981-10-2750-5_24;http://link.springer.com/chapter/10.1007/978-981-10-2750-5_24
3;Optimization as a Service: On the Use of Cloud Computing for Metaheuristic Optimization;Sebastian PimmingerStefan WagnerWerner KurschlJohann Heinzelreiter;Computer Aided Systems Theory - EUROCAST 2013;20130;10.1007/978-3-642-53856-8_44;http://link.springer.com/chapter/10.1007/978-3-642-53856-8_44
