Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"An elastic controller using Colored Petri Nets in cloud computing environment","Cluster Computing","","23","2","10.1007/s10586-019-02972-8","Ali ShahidinejadMostafa Ghobaei-AraniLeila Esmaeili","2020","http://link.springer.com/article/10.1007/s10586-019-02972-8","Article"
"Distributed machine learning load balancing strategy in cloud computing services","Wireless Networks","","26","8","10.1007/s11276-019-02042-2","Mingwei LiJilin ZhangJian WanYongjian RenLi ZhouBaofu WuRui YangJue Wang","2020","http://link.springer.com/article/10.1007/s11276-019-02042-2","Article"
"Dynamic provisioning of resources based on load balancing and service broker policy in cloud computing","Cluster Computing","","23","1","10.1007/s10586-019-02928-y","Amrita JyotiManish Shrimali","2020","http://link.springer.com/article/10.1007/s10586-019-02928-y","Article"
"A novel method for adaptive fault tolerance during load balancing in cloud computing","Cluster Computing","","22","5","10.1007/s10586-017-1038-6","T. TamilvizhiB. Parvathavarthini","2019","http://link.springer.com/article/10.1007/s10586-017-1038-6","Article"
"RETRACTED ARTICLE: Environmental cost control of coal industry based on cloud computing and machine learning","Arabian Journal of Geosciences","","14","12","10.1007/s12517-021-07411-w","Yanni Luo","2021","http://link.springer.com/article/10.1007/s12517-021-07411-w","Article"
"A Review on Data Access Control Schemes in Mobile Cloud Computing: State-of-the-Art Solutions and Research Directions","SN Computer Science","","3","1","10.1007/s42979-021-00917-w","Somchart FugkeawPattavee Sanchol","2021","http://link.springer.com/article/10.1007/s42979-021-00917-w","Article"
"Blockchain-based cloudlet management for multimedia workflow in mobile cloud computing","Multimedia Tools and Applications","","79","15 - 16","10.1007/s11042-019-07900-x","Xiaolong XuYi ChenYuan YuanTao HuangXuyun ZhangLianyong Qi","2020","http://link.springer.com/article/10.1007/s11042-019-07900-x","Article"
"An experimental study of fog and cloud computing in CEP-based Real-Time IoT applications","Journal of Cloud Computing","","10","1","10.1186/s13677-021-00245-7","Giovanny Mondragón-RuizAlonso Tenorio-TrigosoManuel Castillo-CaraBlanca CamineroCarmen Carrión","2021","http://link.springer.com/article/10.1186/s13677-021-00245-7","Article"
"Bi-objective scheduling algorithm for scientific workflows on cloud computing platform with makespan and monetary cost minimization approach","Complex & Intelligent Systems","","8","2","10.1007/s40747-021-00528-1","Mirsaeid Hosseini ShirvaniReza Noorian Talouki","2022","http://link.springer.com/article/10.1007/s40747-021-00528-1","Article"
"Cloudy transaction costs: a dive into cloud computing economics","Journal of Cloud Computing","","9","1","10.1186/s13677-019-0149-4","Rasha Makhlouf","2020","http://link.springer.com/article/10.1186/s13677-019-0149-4","Article"
"Exploring the factors influencing the cloud computing adoption: a systematic study on cloud migration","SpringerPlus","","4","1","10.1186/s40064-015-0962-2","Rashmi RaiGadadhar SahooShabana Mehfuz","2015","http://link.springer.com/article/10.1186/s40064-015-0962-2","Article"
"Intelligent algorithms for cold chain logistics distribution optimization based on big data cloud computing analysis","Journal of Cloud Computing","","9","1","10.1186/s13677-020-00174-x","Yi-hua Chen","2020","http://link.springer.com/article/10.1186/s13677-020-00174-x","Article"
"Sunflower Whale Optimization Algorithm for Resource Allocation Strategy in Cloud Computing Platform","Wireless Personal Communications","","116","4","10.1007/s11277-020-07835-9","Ligade Sunil SubhashR. Udayakumar","2021","http://link.springer.com/article/10.1007/s11277-020-07835-9","Article"
"Towards an Elastic Application Model for Augmenting the Computing Capabilities of Mobile Devices with Cloud Computing","Mobile Networks and Applications","","16","3","10.1007/s11036-011-0305-7","Xinwen ZhangAnugeetha KunjithapathamSangoh JeongSimon Gibbs","2011","http://link.springer.com/article/10.1007/s11036-011-0305-7","Article"
"Quality evaluation and best service choice for cloud computing based on user preference and weights of attributes using the analytic network process","Electronic Commerce Research","","14","3","10.1007/s10660-014-9156-1","Cheol-Rim ChoiHwa-Young Jeong","2014","http://link.springer.com/article/10.1007/s10660-014-9156-1","Article"
"SecAuth-SaaS: a hierarchical certificateless aggregate signature for secure collaborative SaaS authentication in cloud computing","Journal of Ambient Intelligence and Humanized Computing","","12","12","10.1007/s12652-020-02864-5","Deepnarayan TiwariG. R. Gangadharan","2021","http://link.springer.com/article/10.1007/s12652-020-02864-5","Article"
"Risks and rewards of cloud computing in the UK public sector: A reflection on three Organisational case studies","Information Systems Frontiers","","21","2","10.1007/s10796-017-9756-0","Steve JonesZahir IraniUthayasankar SivarajahPeter E. D. Love","2019","http://link.springer.com/article/10.1007/s10796-017-9756-0","Article"
