Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"A Virtualization Security Framework for Public Cloud Computing","Computer Science and its Applications","","","","10.1007/978-94-007-5699-1_41","Jong Hyuk Park","2012","http://link.springer.com/chapter/10.1007/978-94-007-5699-1_41","Chapter"
"Trust Factors for the Usage of Cloud Computing in Small and Medium Sized Craft Enterprises","Economics of Grids, Clouds, Systems, and Services","","","","10.1007/978-3-642-35194-5_13","Holger KettHarriet KasperJürgen FalknerAnette Weisbecker","2012","http://link.springer.com/chapter/10.1007/978-3-642-35194-5_13","Chapter"
"Techno-Economic Analysis of Cloud Computing Supported by 5G: A Cloud vs on Premise Based Solutions Comparison","Advances on Broad-Band Wireless Computing, Communication and Applications","","","","10.1007/978-3-031-20029-8_5","Christos BourasCharalampos ChatzigeorgiouAnastasia KolliaPhilippos Pouyioutas","2023","http://link.springer.com/chapter/10.1007/978-3-031-20029-8_5","Chapter"
"Brief Announcement: Cloud Computing Games: Pricing Services of Large Data Centers","Distributed Computing","","","","10.1007/978-3-642-04355-0_32","Ashraf Al DaoudSachin AgarwalTansu Alpcan","2009","http://link.springer.com/chapter/10.1007/978-3-642-04355-0_32","Chapter"
"Workflow Scheduling Algorithms in Cloud Computing: An Analysis, Analogy, and Provocations","Innovations in Computer Science and Engineering","","","","10.1007/978-981-13-7082-3_57","Shubham JainJasraj Meena","2019","http://link.springer.com/chapter/10.1007/978-981-13-7082-3_57","Chapter"
"Optimization as a Service: On the Use of Cloud Computing for Metaheuristic Optimization","Computer Aided Systems Theory - EUROCAST 2013","","","","10.1007/978-3-642-53856-8_44","Sebastian PimmingerStefan WagnerWerner KurschlJohann Heinzelreiter","2013","http://link.springer.com/chapter/10.1007/978-3-642-53856-8_44","Chapter"
"Request Allocation and Resource Management Techniques in Cloud Computing","Proceedings of the International Conference on Recent Cognizance in Wireless Communication & Image Processing","","","","10.1007/978-81-322-2638-3_95","Swati KhemkaMehul Mahrishi","2016","http://link.springer.com/chapter/10.1007/978-81-322-2638-3_95","Chapter"
"Critical Path-Based Ant Colony Optimization for Scientific Workflow Scheduling in Cloud Computing Under Deadline Constraint","Ambient Communications and Computer Systems","","","","10.1007/978-981-10-7386-1_39","Arvind LalC. Rama Krishna","2018","http://link.springer.com/chapter/10.1007/978-981-10-7386-1_39","Chapter"
"A Security-Driven Approach to Online Job Scheduling in IaaS Cloud Computing Systems","Parallel Processing and Applied Mathematics","","","","10.1007/978-3-319-78054-2_15","Jakub GąsiorFranciszek SeredyńskiAndrei Tchernykh","2018","http://link.springer.com/chapter/10.1007/978-3-319-78054-2_15","Chapter"
"An Architectural View Towards Autonomic Cloud Computing","Data Engineering and Intelligent Computing","","","","10.1007/978-981-10-3223-3_55","Ravi TomarAbhirup KhannaAnanya BansalVivudh Fore","2018","http://link.springer.com/chapter/10.1007/978-981-10-3223-3_55","Chapter"
"A Truthful Mechanism for Value-Based Scheduling in Cloud Computing","Algorithmic Game Theory","","","","10.1007/978-3-642-24829-0_17","Navendu JainIshai MenacheJoseph (Seffi) NaorJonathan Yaniv","2011","http://link.springer.com/chapter/10.1007/978-3-642-24829-0_17","Chapter"
"The IVI Cloud Computing Life Cycle","Cloud Computing and Services Science","","","","10.1007/978-3-319-04519-1_12","Gerard ConwayEdward Curry","2013","http://link.springer.com/chapter/10.1007/978-3-319-04519-1_12","Chapter"
"Cost Analysis Comparing HPC Public Versus Private Cloud Computing","Cloud Computing and Services Science","","","","10.1007/978-3-319-62594-2_15","Patrick DreherDeepak NairEric SillsMladen Vouk","2017","http://link.springer.com/chapter/10.1007/978-3-319-62594-2_15","Chapter"
"Heterogeneous Resource Provisioning for Workflow-Based Applications Using AHP in Cloud Computing","Proceedings of International Conference on Communication and Computational Technologies","","","","10.1007/978-981-15-5077-5_41","S. M. JaybhayeV. Z. Attar","2021","http://link.springer.com/chapter/10.1007/978-981-15-5077-5_41","Chapter"
"A Survey of Cloud Computing","Proceedings of the 2nd International Conference on Green Communications and Networks 2012 (GCN 2012): Volume 3","","","","10.1007/978-3-642-35470-0_10","Yadong GongZongquan YingMeihong Lin","2013","http://link.springer.com/chapter/10.1007/978-3-642-35470-0_10","Chapter"
"Multi-objective Task Scheduling in Cloud Computing Environment by Hybridized Bat Algorithm","Intelligent and Fuzzy Techniques: Smart and Innovative Solutions","","","","10.1007/978-3-030-51156-2_83","Timea BezdanMiodrag ZivkovicEva TubaIvana StrumbergerNebojsa BacaninMilan Tuba","2021","http://link.springer.com/chapter/10.1007/978-3-030-51156-2_83","Chapter"
"Risks in Adopting Cloud Computing: A Proposed Conceptual Framework","Emerging Technologies in Computing","","","","10.1007/978-3-319-95450-9_2","Ali Al-BadiAli TarhiniNabeel Al-Qirim","2018","http://link.springer.com/chapter/10.1007/978-3-319-95450-9_2","Chapter"
"Factors Influencing the Adoption of Cloud Computing by Small and Medium Size Enterprises (SMEs)","Human Interface and the Management of Information. Information and Knowledge in Applications and Services","","","","10.1007/978-3-319-07863-2_60","Shima Ramezani TehraniFarid Shirazi","2014","http://link.springer.com/chapter/10.1007/978-3-319-07863-2_60","Chapter"
"Risk Aware Approach to Data Confidentiality in Cloud Computing","Information Systems Security","","","","10.1007/978-3-642-45204-8_3","Kerim Yasin OktayVaibhav KhadilkarMurat KantarciogluSharad Mehrotra","2013","http://link.springer.com/chapter/10.1007/978-3-642-45204-8_3","Chapter"
"Cloud Computing Automation: Integrating USDL and TOSCA","Advanced Information Systems Engineering","","","","10.1007/978-3-642-38709-8_1","Jorge CardosoTobias BinzUwe BreitenbücherOliver KoppFrank Leymann","2013","http://link.springer.com/chapter/10.1007/978-3-642-38709-8_1","Chapter"
"Insight to Cloud Computing and Growing Impacts","Information Computing and Applications","","","","10.1007/978-3-642-16336-4_33","Chen-shin ChienJason Chien","2010","http://link.springer.com/chapter/10.1007/978-3-642-16336-4_33","Chapter"
"Cloud Computing: Virtual Web Hosting on Infrastructure as a Service (IaaS)","Mobile Ad-hoc and Sensor Networks","","","","10.1007/978-981-10-8890-2_34","Juan FangZeeshan ShaukatSaqib AliAbdul Ahad Zulfiqar","2018","http://link.springer.com/chapter/10.1007/978-981-10-8890-2_34","Chapter"
"Truthful Mechanism Design of Reversed Auction on Cloud Computing","Computing and Combinatorics","","","","10.1007/978-3-030-26176-4_52","Deshi YeFeng XieGuochuan Zhang","2019","http://link.springer.com/chapter/10.1007/978-3-030-26176-4_52","Chapter"
"Resource Utilization Based Dynamic Pricing Approach on Cloud Computing Application","Algorithms and Architectures for Parallel Processing","","","","10.1007/978-3-319-27161-3_61","Adrian JohannesPriyadarsi NandaXiangjian He","2015","http://link.springer.com/chapter/10.1007/978-3-319-27161-3_61","Chapter"
"Multiobjective Virtual Machine Selection for Task Scheduling in Cloud Computing","Computational Intelligence: Theories, Applications and Future Directions - Volume I","","","","10.1007/978-981-13-1132-1_25","Ketaki NaikG. Meera GandhiS. H. Patil","2019","http://link.springer.com/chapter/10.1007/978-981-13-1132-1_25","Chapter"
"Research on Heuristic Based Load Balancing Algorithms in Cloud Computing","Intelligent Data Analysis and Applications","","","","10.1007/978-3-319-21206-7_35","Jengshyang PanPingfei RenLinlin Tang","2015","http://link.springer.com/chapter/10.1007/978-3-319-21206-7_35","Chapter"
"Cloud Computing Availability: Multi-clouds for Big Data Service","Convergence and Hybrid Information Technology","","","","10.1007/978-3-642-32692-9_102","Sangdo LeeHyoungyill ParkYongtae Shin","2012","http://link.springer.com/chapter/10.1007/978-3-642-32692-9_102","Chapter"
"Review of Quality of Service Based Techniques in Cloud Computing","Data Science and Big Data Analytics","","","","10.1007/978-981-10-7641-1_22","GeetaShiva Prakash","2019","http://link.springer.com/chapter/10.1007/978-981-10-7641-1_22","Chapter"
"Cloud Computing at the Edges","Cloud Computing and Services Science","","","","10.1007/978-3-319-29582-4_1","Luiz F. BittencourtOmer RanaIoan Petri","2016","http://link.springer.com/chapter/10.1007/978-3-319-29582-4_1","Chapter"
"Multi-objective Task Scheduling Using Chaotic Quantum-Behaved Chicken Swarm Optimization (CQCSO) in Cloud Computing Environment","Evolutionary Computing and Mobile Sustainable Networks","","","","10.1007/978-981-15-5258-8_74","G. KiruthigaS. Mary Vennila","2021","http://link.springer.com/chapter/10.1007/978-981-15-5258-8_74","Chapter"
"Lightweight Virtualization in Cloud Computing for Research","Intelligence in the Era of Big Data","","","","10.1007/978-3-662-46742-8_40","Muhamad Fitra KacamargaBens PardameanHari Wijaya","2015","http://link.springer.com/chapter/10.1007/978-3-662-46742-8_40","Chapter"
"Adapting Market-Oriented Scheduling Policies for Cloud Computing","Algorithms and Architectures for Parallel Processing","","","","10.1007/978-3-642-13119-6_31","Mohsen Amini SalehiRajkumar Buyya","2010","http://link.springer.com/chapter/10.1007/978-3-642-13119-6_31","Chapter"
"The Interdependent Part of Cloud Computing: Dew Computing","Intelligent Communication and Computational Technologies","","","","10.1007/978-981-10-5523-2_32","Hiral M. PatelRupal R. ChaudhariKinjal R. PrajapatiAmi A. Patel","2018","http://link.springer.com/chapter/10.1007/978-981-10-5523-2_32","Chapter"
"Time- and Cost-Aware Scheduling Method for Workflows in Cloud Computing Systems","Proceedings of International Conference on Computational Intelligence and Data Engineering","","","","10.1007/978-981-10-6319-0_19","G. Narendrababu ReddyS. Phani Kumar","2018","http://link.springer.com/chapter/10.1007/978-981-10-6319-0_19","Chapter"
"Cloud Computing: Concepts and Techniques with Service Provider Analysis","Rising Threats in Expert Applications and Solutions","","","","10.1007/978-981-19-1122-4_27","Himanshu BarhaiyaNilesh Jain","2022","http://link.springer.com/chapter/10.1007/978-981-19-1122-4_27","Chapter"
"Automated Negotiation of QOS Parameters Using Fuzzy Logic Based Concession Strategy for Cloud Computing Environments","Emerging Research in Computing, Information, Communication and Applications","","","","10.1007/978-981-10-4741-1_34","B. Sunil KamathRio D’Souza","2018","http://link.springer.com/chapter/10.1007/978-981-10-4741-1_34","Chapter"
"Trustworthy Self-protection for Data Auditing in Cloud Computing Environment","Internet of Things—Applications and Future","","","","10.1007/978-981-15-3075-3_2","Doaa S. El-MorshedyNoha E. El-AttarWael A. AwadIbrahim M. Hanafy","2020","http://link.springer.com/chapter/10.1007/978-981-15-3075-3_2","Chapter"
"Cloud Computing in Bioinformatics and Big Data Analytics: Current Status and Future Research","Big Data Analytics","","","","10.1007/978-981-10-6620-7_60","Kashish Ara ShakilMansaf Alam","2018","http://link.springer.com/chapter/10.1007/978-981-10-6620-7_60","Chapter"
"Workflow Security Scheduling Strategy in Cloud Computing","Modelling and Implementation of Complex Systems","","","","10.1007/978-3-030-58861-8_4","Sarra HammoutiBelabbas YagoubiSid Ahmed Makhlouf","2021","http://link.springer.com/chapter/10.1007/978-3-030-58861-8_4","Chapter"
"An Overview of Cloud Computing Testing Research","Cloud Computing – CLOUD 2019","","","","10.1007/978-3-030-23502-4_21","Jia YaoBabak Maleki ShojaNasseh Tabrizi","2019","http://link.springer.com/chapter/10.1007/978-3-030-23502-4_21","Chapter"
"Data Integrity Verification Schemes in Cloud Computing Environment: A Survey","Information and Communication Technology for Competitive Strategies (ICTCS 2021)","","","","10.1007/978-981-19-0098-3_62","Jyoti RaniRajender Nath","2023","http://link.springer.com/chapter/10.1007/978-981-19-0098-3_62","Chapter"
"A Methodology for the Development and Verification of Access Control Systems in Cloud Computing","Collaborative, Trusted and Privacy-Aware e/m-Services","","","","10.1007/978-3-642-37437-1_8","Antonios GouglidisIoannis Mavridis","2013","http://link.springer.com/chapter/10.1007/978-3-642-37437-1_8","Chapter"
"Automation of the SLA Life Cycle in Cloud Computing ⋆ ","Service-Oriented Computing – ICSOC 2013 Workshops","","","","10.1007/978-3-319-06859-6_51","Waheed Aslam Ghumman","2014","http://link.springer.com/chapter/10.1007/978-3-319-06859-6_51","Chapter"
"Cloudbus Toolkit for Market-Oriented Cloud Computing","Cloud Computing","","","","10.1007/978-3-642-10665-1_4","Rajkumar BuyyaSuraj PandeyChristian Vecchiola","2009","http://link.springer.com/chapter/10.1007/978-3-642-10665-1_4","Chapter"
"Towards a Conceptual Framework for Assessing the Benefits of Cloud Computing","Software Business. From Physical Products to Software Services and Solutions","","","","10.1007/978-3-642-39336-5_14","Nattakarn PhaphoomXiaofeng WangPekka Abrahamsson","2013","http://link.springer.com/chapter/10.1007/978-3-642-39336-5_14","Chapter"
"A Trust-Based Ranking Model for Cloud Service Providers in Cloud Computing","Internet of Things—Applications and Future","","","","10.1007/978-981-15-3075-3_22","Alshaimaa M. MohammedFatma A. Omara","2020","http://link.springer.com/chapter/10.1007/978-981-15-3075-3_22","Chapter"
"InterCloud: Utility-Oriented Federation of Cloud Computing Environments for Scaling of Application Services","Algorithms and Architectures for Parallel Processing","","","","10.1007/978-3-642-13119-6_2","Rajkumar BuyyaRajiv RanjanRodrigo N. Calheiros","2010","http://link.springer.com/chapter/10.1007/978-3-642-13119-6_2","Chapter"
"Requirements Engineering for Cloud Computing: A Comparison Framework","Web Information Systems Engineering – WISE 2010 Workshops","","","","10.1007/978-3-642-24396-7_32","Stefan WindHolger Schrödl","2011","http://link.springer.com/chapter/10.1007/978-3-642-24396-7_32","Chapter"
"The Reality and Future of the Secure Mobile Cloud Computing (SMCC): Survey","Big Data and Networks Technologies","","","","10.1007/978-3-030-23672-4_18","Samaher Al_JanabiNawras Yahya Hussein","2020","http://link.springer.com/chapter/10.1007/978-3-030-23672-4_18","Chapter"
"Assessing the Effectiveness of Cloud Computing in European Countries","Proceedings of the 4th International Conference on Computer Engineering and Networks","","","","10.1007/978-3-319-11104-9_89","Petra MarešováKamil Kuča","2015","http://link.springer.com/chapter/10.1007/978-3-319-11104-9_89","Chapter"
"Coordination Strategies in a Cloud Computing Service Supply Chain Under the Duopoly Market","Proceedings of the 4th International Conference on Computer Engineering and Networks","","","","10.1007/978-3-319-11104-9_90","Lingyun WeiXiaohan YangXiaoguang Zhou","2015","http://link.springer.com/chapter/10.1007/978-3-319-11104-9_90","Chapter"
"Survey of Different Load Balancing Approach-Based Algorithms in Cloud Computing: A Comprehensive Review","Computational Intelligence in Data Mining","","","","10.1007/978-981-10-8055-5_10","Arunima HotaSubasish MohapatraSubhadarshini Mohanty","2019","http://link.springer.com/chapter/10.1007/978-981-10-8055-5_10","Chapter"
"Load Balancing in Cloud Computing Environment: A Broad Perspective","Intelligent Data Communication Technologies and Internet of Things","","","","10.1007/978-981-15-9509-7_44","Minakshi SharmaRajneesh KumarAnurag Jain","2021","http://link.springer.com/chapter/10.1007/978-981-15-9509-7_44","Chapter"
"An Empirical Study of Different Techniques for the Improvement of Quality of Service in Cloud Computing","Data Engineering for Smart Systems","","","","10.1007/978-981-16-2641-8_32","Chitra SharmaPradeep Kumar TiwariGarima Agarwal","2022","http://link.springer.com/chapter/10.1007/978-981-16-2641-8_32","Chapter"
"Efficient Adaptive Resource Management for Spot Workers in Cloud Computing Environment","Innovative Mobile and Internet Services in Ubiquitous Computing","","","","10.1007/978-3-030-79728-7_37","Lung-Pin ChenFang-Yie LeuHsin-Ta ChiaoHung-Jr Shiu","2022","http://link.springer.com/chapter/10.1007/978-3-030-79728-7_37","Chapter"
"MobiLim: An Agent Based License Management for Cloud Computing","Contemporary Computing","","","","10.1007/978-3-642-22606-9_35","Pankaj B. ThoratAnil K. Sarje","2011","http://link.springer.com/chapter/10.1007/978-3-642-22606-9_35","Chapter"
"A Study of Optimal Multi-server System Configuration with Variate Deadlines and Rental Prices in Cloud Computing","Human Centered Computing","","","","10.1007/978-3-319-74521-3_25","Zhongfeng KangBo Yang","2018","http://link.springer.com/chapter/10.1007/978-3-319-74521-3_25","Chapter"
"Modeling and Performance Evaluation of Auction Model in Cloud Computing","Information and Communication Technology for Intelligent Systems","","","","10.1007/978-981-15-7062-9_2","Gagandeep Kaur","2021","http://link.springer.com/chapter/10.1007/978-981-15-7062-9_2","Chapter"
"Elements of Cloud Computing: A Perspective on Service Oriented Enterprises (SOEs)","Advances in Digital Image Processing and Information Technology","","","","10.1007/978-3-642-24055-3_37","R. SuchithraR. SelvaraniDhinaharann Nagamalai","2011","http://link.springer.com/chapter/10.1007/978-3-642-24055-3_37","Chapter"
"Do Clouds Compute? A Framework for Estimating the Value of Cloud Computing","Designing E-Business Systems. Markets, Services, and Networks","","","","10.1007/978-3-642-01256-3_10","Markus KlemsJens NimisStefan Tai","2009","http://link.springer.com/chapter/10.1007/978-3-642-01256-3_10","Chapter"
"Towards an Understanding of the Formation and Retention of Trust in Cloud Computing: A Research Agenda, Proposed Research Methods and Preliminary Results","Trust, Privacy, and Security in Digital Business","","","","10.1007/978-3-319-09770-1_8","Marc WalterbuschFrank Teuteberg","2014","http://link.springer.com/chapter/10.1007/978-3-319-09770-1_8","Chapter"
"QoE-JVM: An Adaptive and Resource-Aware Java Runtime for Cloud Computing","On the Move to Meaningful Internet Systems: OTM 2012","","","","10.1007/978-3-642-33615-7_8","José SimãoLuís Veiga","2012","http://link.springer.com/chapter/10.1007/978-3-642-33615-7_8","Chapter"
"A Lexical and Semantical Analysis on REST Cloud Computing APIs","Cloud Computing and Service Science","","","","10.1007/978-3-319-94959-8_16","Fabio PetrilloPhilippe MerleFrancis PalmaNaouel MohaYann-Gaël Guéhéneuc","2018","http://link.springer.com/chapter/10.1007/978-3-319-94959-8_16","Chapter"
"Adoption of Cloud Computing in Supply Chain Management Solutions: A SCOR-Aligned Assessment","Web Technologies and Applications","","","","10.1007/978-3-642-29426-6_27","Holger Schrödl","2012","http://link.springer.com/chapter/10.1007/978-3-642-29426-6_27","Chapter"
"Critical Path-Based Iterative Heuristic for Workflow Scheduling in Utility and Cloud Computing","Service-Oriented Computing","","","","10.1007/978-3-642-45005-1_15","Zhicheng CaiXiaoping LiJatinder N. D. Gupta","2013","http://link.springer.com/chapter/10.1007/978-3-642-45005-1_15","Chapter"
"Proxy Re-encryption in a Privacy-Preserving Cloud Computing DRM Scheme","Cyberspace Safety and Security","","","","10.1007/978-3-642-35362-8_16","Ronald Petrlic","2012","http://link.springer.com/chapter/10.1007/978-3-642-35362-8_16","Chapter"
"The Infrastructure Level of Cloud Computing as a Basis for Privacy and Security of Software Services","Privacy and Identity Management for Life","","","","10.1007/978-3-642-31668-5_7","Ina SchieringJan Kretschmer","2012","http://link.springer.com/chapter/10.1007/978-3-642-31668-5_7","Chapter"
"CoCoOn: Cloud Computing Ontology for IaaS Price and Performance Comparison","The Semantic Web – ISWC 2019","","","","10.1007/978-3-030-30796-7_21","Qian ZhangArmin HallerQing Wang","2019","http://link.springer.com/chapter/10.1007/978-3-030-30796-7_21","Chapter"
"A Research of Resource Scheduling Strategy with SLA Restriction for Cloud Computing Based on Pareto Optimality M×N Production Model","Web Information Systems and Mining","","","","10.1007/978-3-642-23971-7_22","Huixi LiHao Li","2011","http://link.springer.com/chapter/10.1007/978-3-642-23971-7_22","Chapter"
"A Prototype Model for Resource Provisioning in Cloud Computing Using MapReduce Technique","Information Systems Design and Intelligent Applications","","","","10.1007/978-981-10-7512-4_97","Ananthi SheshasaayeeR. Megala","2018","http://link.springer.com/chapter/10.1007/978-981-10-7512-4_97","Chapter"
"Minimizing Technical Complexities in Emerging Cloud Computing Platforms","Euro-Par 2010 Parallel Processing Workshops","","","","10.1007/978-3-642-21878-1_74","Andreas MenychtasGeorge KousiourisDimosthenis KyriazisTheodora Varvarigou","2011","http://link.springer.com/chapter/10.1007/978-3-642-21878-1_74","Chapter"
"Market-Driven Continuous Double Auction Method for Service Allocation in Cloud Computing","Advances in Computing, Communication, and Control","","","","10.1007/978-3-642-36321-4_2","Nima FarajianKamran Zamanifar","2013","http://link.springer.com/chapter/10.1007/978-3-642-36321-4_2","Chapter"
"A Survey on SLA and Performance Measurement in Cloud Computing","On the Move to Meaningful Internet Systems: OTM 2011","","","","10.1007/978-3-642-25106-1_4","Mohammed AlhamadTharam DillonElizabeth Chang","2011","http://link.springer.com/chapter/10.1007/978-3-642-25106-1_4","Chapter"
"A Study of Service Quality in Multi Cloud Computing","Advances in Computer Science and Ubiquitous Computing","","","","10.1007/978-981-10-7605-3_129","Sangdo LeeYongtae Shin","2018","http://link.springer.com/chapter/10.1007/978-981-10-7605-3_129","Chapter"
"Contract Design for Composed Services in a Cloud Computing Environment","Advances in Service-Oriented and Cloud Computing","","","","10.1007/978-3-319-14886-1_16","Sonja BrangewitzClaus-Jochen HaakeJochen Manegold","2015","http://link.springer.com/chapter/10.1007/978-3-319-14886-1_16","Chapter"
