Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"An Efficient Checkpointing Scheme Using Price History of Spot Instances in Cloud Computing Environment","Network and Parallel Computing","","","","10.1007/978-3-642-24403-2_16","Daeyong JungSungHo ChinKwangSik ChungHeonChang YuJoonMin Gil","2011","http://link.springer.com/chapter/10.1007/978-3-642-24403-2_16","Chapter"
"MAYA: An Approach for Energy and Cost Optimization for Mobile Cloud Computing Environments","Big Data Analytics","","","","10.1007/978-981-10-6620-7_55","Jitender KumarAmita Malik","2018","http://link.springer.com/chapter/10.1007/978-981-10-6620-7_55","Chapter"
"A Renewable Energy-Based Task Consolidation Algorithm for Cloud Computing","Control Applications in Modern Power System","","","","10.1007/978-981-15-8815-0_40","Sanjib Kumar NayakSanjaya Kumar PandaSatyabrata DasSohan Kumar Pande","2021","http://link.springer.com/chapter/10.1007/978-981-15-8815-0_40","Chapter"
"Technological Innovation of Manufacturing Industry Based on Genetic Network and Cloud Computing Information","International Conference on Applications and Techniques in Cyber Intelligence ATCI 2019","","","","10.1007/978-3-030-25128-4_258","Wang YuYuxiang Meng","2020","http://link.springer.com/chapter/10.1007/978-3-030-25128-4_258","Chapter"
"Cloud Computing Adoption in Italian SMEs: A Focus on Decision-making and Post-implementation Processes","Reshaping Accounting and Management Control Systems","","","","10.1007/978-3-319-49538-5_4","Adele CaldarelliLuca FerriMarco Maffei","2017","http://link.springer.com/chapter/10.1007/978-3-319-49538-5_4","Chapter"
"Privacy-Preserving Public Auditing in Cloud Computing with Data Deduplication","Foundations and Practice of Security","","","","10.1007/978-3-319-17040-4_3","Naelah AlkhojandiAli Miri","2015","http://link.springer.com/chapter/10.1007/978-3-319-17040-4_3","Chapter"
"Cloud Computing Costs and Benefits","Cloud Computing and Services Science","","","","10.1007/978-1-4614-2326-3_10","Nane Kratzke","2012","http://link.springer.com/chapter/10.1007/978-1-4614-2326-3_10","Chapter"
"Outsourced Data Modification Algorithm with Assistance of Multi-assistants in Cloud Computing","Cloud Computing and Security","","","","10.1007/978-3-319-48671-0_35","Jian ShenJun ShenXiong LiFuShan WeiJiGuo Li","2016","http://link.springer.com/chapter/10.1007/978-3-319-48671-0_35","Chapter"
"RETRACTED CHAPTER: A Cooperative Placement Method for Machine Learning Workflows and Meteorological Big Data Security Protection in Cloud Computing","Machine Learning for Cyber Security","","","","10.1007/978-3-030-30619-9_8","Xinzhao JiangWei KongXin JinJian Shen","2019","http://link.springer.com/chapter/10.1007/978-3-030-30619-9_8","Chapter"
"Decision Making in Cloud Computing: A Method that Combines Costs, Risks and Intangible Benefits","Knowledge Management in Organizations","","","","10.1007/978-3-319-62698-7_23","Yuri Zelenkov","2017","http://link.springer.com/chapter/10.1007/978-3-319-62698-7_23","Chapter"
"An Energy Efficiency Model Based on QoS in Cloud Computing","Proceedings of International Conference on Computer Science and Information Technology","","","","10.1007/978-81-322-1759-6_55","Xiaobo CaiXuejie Zhang","2014","http://link.springer.com/chapter/10.1007/978-81-322-1759-6_55","Chapter"
