"Item type","Authors","Title","Publication year","Pages","Publisher","Address","Proceedings title","Conference location","Date published","ISBN","URLs","DOI","Abstract","Keywords","Sub-type","Series"
"Conference Paper","Klaver L,van der Knaap T,van der Geest J,Harmsma E,van der Waaij B,Pileggi P","Towards Independent Run-Time Cloud Monitoring","2021","21–26","Association for Computing Machinery","New York, NY, USA","Companion of the ACM/SPEC International Conference on Performance Engineering","Virtual Event, France","2021","9781450383318","https://doi.org/10.1145/3447545.3451180;http://dx.doi.org/10.1145/3447545.3451180","10.1145/3447545.3451180","Cloud computing services are integral to the digital transformation. They deliver greater connectivity, tremendous savings, and lower total cost of ownership. Despite such benefits and benchmarking advances, costs are still quite unpredictable, performance is unclear, security is inconsistent, and there is minimal control over aspects like data and service locality. Estimating performance of cloud environments is very hard for cloud consumers. They would like to make informed decisions about which provider better suits their needs using specialized evaluation mechanisms. Providers have their own tools reporting specific metrics, but they are potentially biased and often incomparable across providers. Current benchmarking tools allow comparison but consumers need more flexibility to evaluate environments under actual operating conditions for specialized applications. Ours is early stage work and a step towards a monitoring solution that enables independent evaluation of clouds for very specific application needs. In this paper, we present our initial architecture of the Cloud Monitor that aims to integrate existing and new benchmarks in a flexible and extensible way. By way of a simplistic demonstrator, we illustrate the concept. We report some preliminary monitoring results after a brief time of monitoring and are able to observe unexpected anomalies. The results suggest an independent monitoring solution is a powerful enabler of next generation cloud computing, not only for the consumer but potentially the whole ecosystem.","run-time monitoring, performance evaluation, benchmarking, cloud computing","","ICPE '21"
"Conference Paper","Chi R,Qian Z,Lu S","A Game Theoretical Method for Auto-Scaling of Multi-Tiers Web Applications in Cloud","2012","","Association for Computing Machinery","New York, NY, USA","Proceedings of the Fourth Asia-Pacific Symposium on Internetware","Qingdao, China","2012","9781450318884","https://doi.org/10.1145/2430475.2430478;http://dx.doi.org/10.1145/2430475.2430478","10.1145/2430475.2430478","Cloud computing is a newly emerging reliable and scalable paradigm in which customers pay for cloud resources they use on demand. However, current auto-scaling mechanisms in cloud lack the critical self-adaption policy which helps application providers decide on when and how to reallocate resources. Furthermore, virtualization techniques can not ensure an absolute isolation between multiple virtual machines sharing the same physical resource, which leads to some customers paying unfairly for heavy-loaded resource under a widely-adopted fixed pricing scheme.In this paper, we present a global performance-to-price model based on game theory, in which each application is considered as a selfish player attempting to guarantee QoS requirements and simultaneously minimize the resource cost. Then we apply the idea of Nash equilibrium to obtain the appropriate allocation, and an approximated solution is proposed to obtain the Nash equilibrium, ensuring that each player is charged fairly for their desired performance. First, each player maximizes its utility independently without considering the placement of virtual machines. Then based on the initial allocation, each player reaches its optimal placement solely without considering others' interference. Finally we propose an evolutionary algorithm which step by step updates the global resource allocation based on the initial optimal allocation and placement.","game theory, resource allocation, web application, auto scaling, cloud computing, QoS","","Internetware '12"
"Conference Paper","Idziorek J,Tannian M,Jacobson D","Modeling Web Usage Profiles of Cloud Services for Utility Cost Analysis","2011","3323–3334","Winter Simulation Conference","Phoenix, Arizona","Proceedings of the Winter Simulation Conference","","2011","","","","Early proponents of public cloud computing have come to identify cost savings a key factor for adoption. However, the adoption and hosting of a web application in the cloud does not provide any such guarantees. This is in part due to the utility pricing model that dictates the cost of public cloud resources. In this work we seek to model and simulate data usage for a web application for the purpose of utility cost analysis. Although much research has been performed in the area of web usage mining, previously proposed models are unable to accurately model web usage profiles for a specific web application. In this paper, we present a simulation model and corresponding algorithm to model web usage based on empirical observations. The validation of the proposed model shows that the simulated output conforms to that of what was observed and is within acceptable tolerance limits.","","","WSC '11"
"Conference Paper","Ponte N,Trinta F,Viana R,Andrade R,Garcia V,Assad R","A Service-Oriented Architecture for Billing Resources in IaaS Cloud Platforms","2015","1719–1721","Association for Computing Machinery","New York, NY, USA","Proceedings of the 30th Annual ACM Symposium on Applied Computing","Salamanca, Spain","2015","9781450331968","https://doi.org/10.1145/2695664.2719244;http://dx.doi.org/10.1145/2695664.2719244","10.1145/2695664.2719244","Cloud Computing is a recent paradigm where different IT resources, such as applications or hardware, are quickly provisioned to customers through a pay per use model. Many research studies have already been conducted concerning billing services for cloud computing, but they lack on flexibility to establish how resources are defined and monitored. In fact, current solutions seem also very dependent on specific cloud infrastructures. This paper proposes an architecture for billing cloud services decoupled from specific providers, named as aCCountS. This service is complemented by a Domain Specific Language that allows the specification of flexible pricing policies. Such policies aims at supporting cloud billing requirements collected from our literature survey, allowing pricing schemes that meet different customer profiles. Based on this architecture, a prototype has been implemented and tested to validate our proposal in two different cloud infrastructures. Experiments confirmed that (i) the architecture hasn't dependencies of specific IaaS provider and (ii) the charging procedures are done correctly.","infrastructure as a service, cloud computing, pricing","","SAC '15"
"Conference Paper","Nasiriani N,Kesidis G,Wang D","Public Cloud Differential Pricing Design Under Provider and Tenants Joint Demand Response","2018","21–32","Association for Computing Machinery","New York, NY, USA","Proceedings of the Ninth International Conference on Future Energy Systems","Karlsruhe, Germany","2018","9781450357678","https://doi.org/10.1145/3208903.3208938;http://dx.doi.org/10.1145/3208903.3208938","10.1145/3208903.3208938","As the cloud computing market matures, effective pricing design remains a challenging problem. Electricity is a major contributor to the cloud's recurring costs and may increase significantly in the near future. As the cloud market gets more competitive, there will be a need for more cost-conscious dynamic pricing design. Additionally, today's cloud provider's pricing mechanisms act almost oblivious to the fact that the large tenants of the cloud are able to perform automated demand response in the form of delaying and dropping jobs. In this work we introduce differential dynamic pricing which provides different tenants with tailored prices according to their price sensitivity, while accounting for each tenant's energy costs. Furthermore, the cloud providers can engage in demand response to utility prices using on-site batteries. Battery management complicates things further, as it brings in additional costs, e.g., wear-and-tear, which is challenging to attribute to each tenant. So, we use virtual battery management which accounts for individual tenant's usage of batteries. We also, show how virtual battery management can alleviate possible price fluctuations and act in synergy with differential dynamic pricing scheme and result in a less variable and more predictable (stable) pricing framework, called Stable Differential Dynamic Pricing (SD2P). We navigate different real-world IBM tenants' incident power demands with different price elasticities in conjunction with real-world electricity prices, and realistic battery degradation costs, to show the efficacy of our pricing mechanism. We show that under SD2P cloud's profit increases up to 31% while average tenants' utility increases up to 18%. Prices under SD2P exhibit up to 54% less variation compared to other dynamic pricing schemes, as a result of engaging the batteries at times of energy price spikes.","Differential Pricing, Cloud Provider, Dynamic Pricing, Demand Response","","e-Energy '18"
"Conference Paper","Pires FL,Báran B","A Virtual Machine Placement Taxonomy","2015","159–168","IEEE Press","Shenzhen, China","Proceedings of the 15th IEEE/ACM International Symposium on Cluster, Cloud, and Grid Computing","","2015","9781479980062","https://doi.org/10.1109/CCGrid.2015.15;http://dx.doi.org/10.1109/CCGrid.2015.15","10.1109/CCGrid.2015.15","Cloud computing datacenters dynamically provide millions of virtual machines (VMs) in actual cloud markets. In this context, Virtual Machine Placement (VMP) is one of the most challenging problems in cloud infrastructure management, considering the large number of possible optimization criteria and different formulations that could be studied. VMP literature include relevant research topics such as energy efficiency, Service Level Agreement (SLA), Quality of Service (QoS), cloud service pricing schemes and carbon dioxide emissions; all of them with high economical and ecological impact. This work classifies an extensive up-to-date survey of the most relevant VMP literature proposing a novel taxonomy in order to identify research opportunities and define a general vision on this research area.","taxonomy, optimization, scheduling, placement, cloud computing, consolidation","","CCGRID '15"
"Conference Paper","Mihailescu M,Teo YM","The Impact of User Rationality in Federated Clouds","2012","620–627","IEEE Computer Society","USA","Proceedings of the 2012 12th IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing (Ccgrid 2012)","","2012","9780769546919","https://doi.org/10.1109/CCGrid.2012.127;http://dx.doi.org/10.1109/CCGrid.2012.127","10.1109/CCGrid.2012.127","With cloud computing, the long-envisioned dream of computing as utility is achieved. Many of the current standalone cloud providers offer resources and services using pay-per-use fixed pricing. Spot pricing, recently introduced in Amazon EC2, is more efficient by setting the resource price dynamically, based on demand. However, this pricing scheme, similar to the uniform price auction, is truthful only when supply can be adjusted, such as the case of a standalone cloud provider. In a federated cloud, where resources from multiple cloud providers are integrated to increase elasticity and reliability, rational users can have a greater impact. In this paper, we evaluate the impact of rationality in a federated cloud, by comparing the consumer welfare achieved by spot pricing, currently used in Amazon EC2, and a strategy-proof pricing scheme. We consider different EC2 regions as providers in a federated cloud, and use traces of spot prices to determine the consumer requests and the user welfare. Our results show that spot pricing is not suitable in a federated cloud, where rational users can increase their welfare by being untruthful.","spot pricing, cloud computing, rationality, federated clouds","","CCGRID '12"
"Conference Paper","Al-Dulaimy A,Taheri J,Papadopoulos AV,Nolte T","LOOPS: A Holistic Control Approach for Resource Management in Cloud Computing","2021","117–124","Association for Computing Machinery","New York, NY, USA","Proceedings of the ACM/SPEC International Conference on Performance Engineering","Virtual Event, France","2021","9781450381949","https://doi.org/10.1145/3427921.3450254;http://dx.doi.org/10.1145/3427921.3450254","10.1145/3427921.3450254","In cloud computing model, resource sharing introduces major benefits for improving resource utilization and total cost of ownership, but it can create technical challenges on the running performance. In practice, orchestrators are required to allocate sufficient physical resources to each Virtual Machine (VM) to meet a set of predefined performance goals. To ensure a specific service level objective, the orchestrator needs to be equipped with a dynamic tool for assigning computing resources to each VM, based on the run-time state of the target environment. To this end, we present LOOPS, a multi-loop control approach, to allocate resources to VMs based on the service level agreement (SLA) requirements and the run-time conditions. LOOPS is mainly composed of one essential unit to monitor VMs, and three control levels to allocate resources to VMs based on requests from the essential node. A tailor-made controller is proposed with each level to regulate contention among collocated VMs, to reallocate resources if required, and to migrate VMs from one host to another. The three levels work together to meet the required SLA. The experimental results have shown that the proposed approach can meet applications' performance goals by assigning the resources required by cloud-based applications.","VM migration, resource management, cloud computing, vertical scaling, horizontal scaling, auto-scaling","","ICPE '21"
"Conference Paper","Chen S,Wang Y,Pedram M","Concurrent Placement, Capacity Provisioning, and Request Flow Control for a Distributed Cloud Infrastructure","2014","","European Design and Automation Association","Leuven, BEL","Proceedings of the Conference on Design, Automation & Test in Europe","Dresden, Germany","2014","9783981537024","","","Cloud computing and storage have attracted a lot of attention due to the ever increasing demand for reliable and cost-effective access to vast resources and services available on the Internet. Cloud services are typically hosted in a set of geographically distributed data centers, which we will call the cloud infrastructure. To minimize the total cost of ownership of this cloud infrastructure (which accounts for both the upfront capital cost and the operational cost of the infrastructure resources), the infrastructure owners/operators must do a careful planning of data center locations in the targeted service area (for example the US territories), data center capacity provisioning (i.e., the total CPU cycles per second that can be provided in each data center). In addition, they must have flow control policies that will distribute the incoming user requests to the available resources in the cloud infrastructure. This paper presents an approach for solving the unified problem of data center placement and provisioning, and request flow control in one shot. The solution technique is based on mathematical programming. Experimental results, using Google cluster data and placement/provisioning of up to eight data center sites demonstrate the cost savings of the proposed problem formulation and solution approach.","","","DATE '14"
"Conference Paper","Blocq G,Bachrach Y,Key P","The Shared Assignment Game and Applications to Pricing in Cloud Computing","2014","605–612","International Foundation for Autonomous Agents and Multiagent Systems","Richland, SC","Proceedings of the 2014 International Conference on Autonomous Agents and Multi-Agent Systems","Paris, France","2014","9781450327381","","","We propose an extension to the Assignment Game [37] in which sellers provide indivisible heterogeneous goods to their buyers. Each good takes up various amounts of resources and each seller has capacity constraints with respect to the total amount of resources it can provide. Hence, the total amount of goods that the seller can provide is dependent on the set of buyers. In this model, we first demonstrate that the core is empty and proceed to suggest a fair allocation of the resulting utility of an optimal match, using the Shapley value. We then examine scenarios where the worth and resource demands of each good are private information of selfish buyers and consider ways in which they can manipulate the system. We show that such Shapley value manipulations are bounded in terms of the gain an agent can achieve by using them. Finally, since this model can be of use when considering elastic resource allocation and utility sharing in cloud computing domains, we provide simulation results which show our approach maximizes welfare and, when used as a pricing scheme, can also increase the revenue of the cloud server providers over what is achieved with the widely-used fixed pricing scheme.","shapley value, cloud pricing, assignment game","","AAMAS '14"
"Conference Paper","Arabnejad V,Bubendorfer K,Ng B","Deadline Distribution Strategies for Scientific Workflow Scheduling in Commercial Clouds","2016","70–78","Association for Computing Machinery","New York, NY, USA","Proceedings of the 9th International Conference on Utility and Cloud Computing","Shanghai, China","2016","9781450346160","https://doi.org/10.1145/2996890.2996905;http://dx.doi.org/10.1145/2996890.2996905","10.1145/2996890.2996905","Commercial clouds have become a viable platform for performing a significant range of large scale scientific analyses - due to the offerings of elasticity, specialist hardware, software infrastructure and pay-as-you-go cost model. Such clouds represent a low upfront capital cost alternative to the use of dedicated eScience infrastructure. However, there are still significant technical hurdles associated with obtaining the best performance for the cost - it is easy to provision commercial clouds inefficiently resulting in great and potentially unanticipated expense.In this paper we introduce a new heuristic scheduling algorithm Deadline Distribution Ratio (DDR) to address the workflow scheduling problem with the objectives of minimizing the cost of Cloud computing resources while satisfying a given deadline. Within this context, we also investigate a range of different deadline distribution strategies and their effect on the overall scheduling performance. We then compare the DDR algorithm against three other published algorithms, using five different scientific workflows generated using the pegasus workflow generator, on a CloudSim simulation that implements a pricing model based on AWS. In general, the DDR algorithm returns the lowest costs across the majority of deadlines and workflows, while maintaining a high scheduling success rate.","cloud computing, scheduling, deadline distribution, scientific workflow","","UCC '16"
"Conference Paper","Henzinger TA,Singh AV,Singh V,Wies T,Zufferey D","A Marketplace for Cloud Resources","2010","1–8","Association for Computing Machinery","New York, NY, USA","Proceedings of the Tenth ACM International Conference on Embedded Software","Scottsdale, Arizona, USA","2010","9781605589046","https://doi.org/10.1145/1879021.1879022;http://dx.doi.org/10.1145/1879021.1879022","10.1145/1879021.1879022","Cloud computing is an emerging paradigm aimed to offer users pay-per-use computing resources, while leaving the burden of managing the computing infrastructure to the cloud provider. We present a new programming and pricing model that gives the cloud user the flexibility of trading execution speed and price on a per-job basis. We discuss the scheduling and resource management challenges for the cloud provider that arise in the implementation of this model. We argue that techniques from real-time and embedded software can be useful in this context.","worst-case execution time, cloud computing, iaas, large-scale scheduling, pricing models","","EMSOFT '10"
"Conference Paper","Tirado JM,Higuero D,Isaila F,Carretero J","Predictive Data Grouping and Placement for Cloud-Based Elastic Server Infrastructures","2011","285–294","IEEE Computer Society","USA","Proceedings of the 2011 11th IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing","","2011","9780769543956","https://doi.org/10.1109/CCGrid.2011.49;http://dx.doi.org/10.1109/CCGrid.2011.49","10.1109/CCGrid.2011.49","Workload variations on Internet platforms such as YouTube, Flickr, LastFM require novel approaches to dynamic resource provisioning in order to meet QoS requirements, while reducing the Total Cost of Ownership (TCO) of the infrastructures. The economy of scale promise of cloud computing is a great opportunity to approach this problem, by developing elastic large scale server infrastructures. However, a proactive approach to dynamic resource provisioning requires prediction models forecasting future load patterns. On the other hand, unexpected volume and data spikes require reactive provisioning for serving unexpected surges in workloads. When workload can not be predicted, adequate data grouping and placement algorithms may facilitate agile scaling up and down of an infrastructure. In this paper, we analyze a dynamic workload of an on-line music portal and present an elastic Web infrastructure that adapts to workload variations by dynamically scaling up and down servers. The workload is predicted by an autoregressive model capturing trends and seasonal patterns. Further, for enhancing data locality, we propose a predictive data grouping based on the history of content access of a user community. Finally, in order to facilitate agile elasticity, we present a data placement based on workload and access pattern prediction. The experimental results demonstrate that our forecasting model predicts workload with a high precision. Further, the predictive data grouping and placement methods provide high locality, load balance and high utilization of resources, allowing a server infrastructure to scale up and down depending on workload.","elastic, prediction, cloud, data-grouping","","CCGRID '11"
"Conference Paper","Cavalcante E,Almeida A,Batista T,Cacho N,Lopes F,Delicato FC,Sena T,Pires PF","Exploiting Software Product Lines to Develop Cloud Computing Applications","2012","179–187","Association for Computing Machinery","New York, NY, USA","Proceedings of the 16th International Software Product Line Conference - Volume 2","Salvador, Brazil","2012","9781450310956","https://doi.org/10.1145/2364412.2364442;http://dx.doi.org/10.1145/2364412.2364442","10.1145/2364412.2364442","With the advance of the Cloud Computing paradigm, new challenges in terms of models, tools, and techniques to support developers to design, build and deploy complex software systems that make full use of the cloud technology arise. In the heterogeneous scenario of this new paradigm, the development of applications using cloud services becomes hard, and the software product lines (SPL) approach is potentially promising for this context since specificities of the cloud platforms, such as services heterogeneity, pricing model, and other aspects can be catered as variabilities to core features. In this perspective, this paper (i) proposes a seamless adaptation of the SPL-based development to include important features of cloud-based applications, and (ii) reports the experience of developing HW-CSPL, a SPL for the Health Watcher (HW) System, which allows citizens to register complaints and consult information regarding the public health system of a city. Several functionalities of this system were implemented using different Cloud Computing platforms, and run time specificities of this application deployed on the cloud were analyzed, as well as other information such as change impact and pricing.","health watcher system, cloud platforms, cloud computing, software product lines, services","","SPLC '12"
"Conference Paper","Wong P,He Z,Lo E","Parallel Analytics as a Service","2013","25–36","Association for Computing Machinery","New York, NY, USA","Proceedings of the 2013 ACM SIGMOD International Conference on Management of Data","New York, New York, USA","2013","9781450320375","https://doi.org/10.1145/2463676.2463714;http://dx.doi.org/10.1145/2463676.2463714","10.1145/2463676.2463714","Recently, massively parallel processing relational database systems (MPPDBs) have gained much momentum in the big data analytic market. With the advent of hosted cloud computing, we envision that the offering of MPPDB-as-a-Service (MPPDBaaS) will become attractive for companies having analytical tasks on only hundreds gigabytes to some ten terabytes of data because they can enjoy high-end parallel analytics at a cheap cost. This paper presents Thrifty, a prototype implementation of MPPDB-as-a-service. The major research issue is how to achieve a lower total cost of ownership by consolidating thousands of MPPDB tenants on to a shared hardware infrastructure, with a performance SLA that guarantees the tenants can obtain the query results as if they are executing their queries on dedicated machines. Thrifty achieves the goal by using a tenant-driven design that includes (1) a cluster design that carefully arranges the nodes in the cluster into groups and creates an MPPDB for each group of nodes, (2) a tenant placement that assigns each tenant to several MPPDBs (for high availability service through replication), and (3) a query routing algorithm that routes a tenant's query to the proper MPPDB at run-time. Experiments show that in a MPPDBaaS with 5000 tenants, where each tenant requests 2 to 32 nodes MPPDB to query against 200GB to 3.2TB of data, Thrifty can serve all the tenants with a 99.9% performance SLA guarantee and a high availability replication factor of 3, using only 18.7% of the nodes requested by the tenants.","cloud databases, multi-tenant databases, parallel databases, consolidation, database-as-a-service","","SIGMOD '13"
