,Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,Item type,Title,Publication year,Pages,Address,Proceedings title,Conference location,Date published,ISBN,URLs,Keywords,Sub-type,Series,Journal,Item Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,URL,Content Type
62,Task Scheduling Algorithm in Cloud Computing Environment Based on Cloud Pricing Models,E. Ibrahim; N. A. El-Bahnasawy; F. A. Omara,"Computer Science & Eng. Dept., Faculty of Electronic Eng., Menouf, Egypt; Computer Science & Eng. Dept., Faculty of Electronic Eng., Menouf, Egypt; Faculty of Computers & information, Cairo University, Egypt",2016 World Symposium on Computer Applications & Research (WSCAR),22 Dec 2016,2016.0,,,65,71,"The Cloud Computing is a most widely spreading platform for executing tasks using virtual machines (VMs) as processing elements. Therefore, implementing HPC using Cloud Computing is considered a powerful approach by isolating tasks, reducing execution time, as well as, price, and satisfying load balance. In this paper, an enhancement task scheduling algorithm on the Cloud Computing environment has been introduced to reduce the make-span, as well as, decrease the price of executing the independent tasks on the cloud resources. The principles of the algorithm is based on calculating the total processing power of the available resources (i.e., VMs) and the total requested processing power by the users' tasks, then allocating a group of users' tasks to each VM based on the ratio of its needed power relative to the total processing power of all VMs. The power of VMs has been defined based on Amazon EC2 and Google pricing models. To evaluate the performance of the enhancement algorithm, a comparative study has been done among this enhancement algorithm, the default FCFS algorithm, and the existed GA, and PSO algorithms. The experimental results show that the enhancement algorithm outperforms other algorithms by reducing make-span and the price of the running tasks.",,978-1-5090-4114-5,10.1109/WSCAR.2016.20,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7791982,Cloud Computing;Task scheduling;Particle swarm optimization;Genetic Algorithm;Cloud Pricing,Cloud computing;Genetic algorithms;Pricing;Google;Mathematical model;Scheduling algorithms,cloud computing;performance evaluation;pricing;resource allocation;scheduling;virtual machines,task scheduling algorithm;cloud computing;cloud pricing models;virtual machines;task execution;HPC;execution time reduction;load balancing;make-span reduction;cloud resources;total processing power calculation;Amazon EC2 models;Google pricing models;performance evaluation,,26.0,,14.0,IEEE,22 Dec 2016,,,IEEE,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,
63,A Network Flow Approach in Cloud Computing,S. Feizi; A. Zhang; M. Medard,RLE at MIT; RLE at MIT; RLE at MIT,2013 47th Annual Conference on Information Sciences and Systems (CISS),10 Oct 2013,2013.0,,,1,6,"In this paper, by using network flow principles, we propose algorithms to address various challenges in cloud computing. One of the main challenges is to consider both communication and computation constraints in the network. In the proposed network flow framework, we model the amount of computation in each node of the network as a function of its total self-loop flows. We consider two computation cost models: a linear computation cost model and a maximum computation cost model. We show that, our network flow framework can be used as a systematic technique of balancing computation loads over different nodes of the network. This network flow framework can also be used for cloud network design. A network topology is optimal for certain computations if it maximizes the total computation rate under communication/computation constraints. We propose a greedy algorithm to design a cloud network with a certain network characteristics in terms of communication and computation costs. We provide simulation results to illustrate the performance of our algorithms.",,978-1-4673-5239-0,10.1109/CISS.2013.6624265,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6624265,,Computational modeling;Mathematical model;Algorithm design and analysis;Equations;Network topology;Radio frequency;Cloud computing,cloud computing;graph theory;greedy algorithms;network theory (graphs);resource allocation,network flow approach;cloud computing;communication constraint;computation constraint;network node;total self-loop flows;linear computation cost model;maximum computation cost model;computation load balancing;cloud network design;optimal network topology;total computation rate maximization;greedy algorithm;network characteristics;communication cost;computation cost,,,,19.0,IEEE,10 Oct 2013,,,IEEE,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,
64,Optimization for reasonable service price in broker based cloud service environment,Young-Rok Shin; Eui-Nam huh,"Department of Computer Engineering, Kyung Hee University, Yongin, Korea, Republic of; Department of Computer Engineering, Kyung Hee University, Yongin, Korea, Republic of",Fourth edition of the International Conference on the Innovative Computing Technology (INTECH 2014),20 Oct 2014,2014.0,,,115,119,"Cloud computing has rapidly developed with emergence of various user mobile devices. Furthermore, Cloud Service Broker (CSB) is emerged, as service mediation is willing to provide profit of a cloud customer as well as a cloud service provider in cloud environment. As a result, cloud computing nowadays has the architecture, which can provide extended services by collaboration among service providers. Even though they have the architecture for the service extension, there are no service integration technologies so far. In this paper, therefore, we introduce broker based cloud service architecture and propose an optimal pricing model to solve the service integration problem. We adopt 0-1 knapsack problem for pricing optimization in service integration, and its result shows effectiveness of our proposed pricing model.",,978-1-4799-4233-6,10.1109/INTECH.2014.6927767,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6927767,Cloud Service Broker (CSB);Service Level Agreement (SLA);Service composition;Pricing optimization,Pricing;Biological system modeling;Computational modeling;Cloud computing;Computer architecture;Optimization;Quality of service,cloud computing;contracts;knapsack problems;optimisation;pricing,broker based cloud service environment;service mediation;cloud customer;cloud service provider;cloud computing;mobile devices;broker based cloud service architecture;optimal pricing model;service integration problem;0-1 knapsack problem;reasonable service pricing optimization,,,,14.0,IEEE,20 Oct 2014,,,IEEE,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,
65,Cost Models for Distributed Pattern Mining in the Cloud,S. Aridhi; L. d'Orazio; M. Maddouri; E. M. Nguifo,"University of Trento, Italy; LIMOS, Universite Clermont Auvergne et associes, Clermont-Ferrand, Auvergne-Rh̫ne-Alpes, FR; Taibah University, Almadinah, Kingdom of Saudi Arabia; CNRS, Aubiere, France",2015 IEEE Trustcom/BigDataSE/ISPA,3 Dec 2015,2015.0,2.0,,112,119,"Recently, distributed pattern mining approaches have become very popular, especially in certain domains such as bioinformatics, chemoinformatics and social networks. In most cases, the distribution of the pattern mining process generates a loss of information in the output results. Reducing this loss may affect the performance of the distributed approach and thus, the monetary cost when using cloud environments. In this context, cost models are needed to help selecting the best parameters of the used approach in order to achieve a better performance especially in the cloud. In this paper, we address the multi-criteria optimization problem of tuning thresholds related to distributed frequent pattern mining in cloud computing environment while optimizing the global monetary cost of storing and querying data in the cloud. To achieve this goal, we design cost models for managing and mining graph data with large scale pattern mining framework over a cloud architecture. Furthermore, we define four objective functions, with respect to the needs of customers. We present an experimental validation of the proposed cost models in the case of distributed subgraph mining in the cloud.",,978-1-4673-7952-6,10.1109/Trustcom.2015.569,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7345482,Distributed pattern mining;cost models;cloud computing;optimization,Data mining;Cloud computing;Data transfer;Data models;Pricing;Distributed databases;Bandwidth,cloud computing;data mining;distributed processing;graph theory;optimisation;query processing;software architecture,cloud architecture;distributed subgraph mining;data querying;multicriteria optimization problem;cloud computing;distributed frequent pattern mining;cost model,,,,21.0,IEEE,3 Dec 2015,,,IEEE,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,
66,A secured and cost-effective method for processing queries using cloud resources optimally at hybrid cloud,U. Ganguly; C. Ray,"Mallabhum Institute of Technology, Bishnupur, INDIA; State Council of Educational Research & Training, Kolkata, INDIA","2016 International Conference on Computer, Electrical & Communication Engineering (ICCECE)",14 Aug 2017,2016.0,,,1,8,"Cloud computing is a promising computing paradigm which recently has drawn extensive attention from both academia and industry. Data privacy is an important issue for cloud computing as third party maintenance of data leads to security threat. Moreover, the cloud customers paid bill as per their usage to cloud service providers in a cloud environment. In this context, processing queries in cloud environment in a secured and cost-effective way is utmost important from both the viewpoints of cloud service providers as well as cloud customers. In this paper, first, an approach has been developed for maintaining data privacy of private sensitive data in hybrid cloud computing. This mechanism ensures that the private and sensitive data of an enterprise in a cloud environment is to be stored and maintained within the enterprise itself for globally distributed enterprises. Next, an authentication monitor is introduced in this work to maintain authenticity. Finally, a delay-based cost model has been developed in this paper for processing queries in a secured and optimized way by using cloud resources optimally in hybrid cloud environment. The analytical result of the delay-based cost model is also illustrated at the end of the paper.",,978-1-5090-4432-0,10.1109/ICCECE.2016.8009566,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8009566,Authentication monitor;Cloud computing;Data Privacy;Query optimization;Sensitive data,High definition video,cloud computing;cryptographic protocols;data privacy;optimisation;query processing,secured cost-effective method;optimized query processing;cloud resources;computing paradigm;data privacy;cloud customers;cloud service providers;private sensitive data;hybrid cloud computing;globally distributed enterprises;authentication monitor;delay-based cost model,,1.0,,13.0,IEEE,14 Aug 2017,,,IEEE,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,
67,Optimal Pricing for Service Provision in an IaaS Cloud Market with Delay Sensitive Cloud Users,G. Fang; X. Li,"Trade Circulation Institute, Anhui Institute of International Business, Hefei, China; Global Information and Telecommunication Institute, Waseda University, Tokyo, Japan","2017 International Conference on Computer Network, Electronic and Automation (ICCNEA)",7 Dec 2017,2017.0,,,226,230,"Cloud computing has received a significant amount of attentions from both engineering and academic fields. Designing optimal pricing schemes of cloud services plays an important role for the success of cloud computing. How to set optimal prices of cloud resources in order to maximize these CSPs' revenues in an Infrastructure as a Service (IaaS) cloud market while at the same time meeting the cloud users' demand satisfaction is a challenging problem that CSPs should consider. However, most of the current works on cloud market are performed under the assumption that cloud users are not sensitive to delay, which is not practical. Towards this end, in this paper we study price-based service provision in an IaaS cloud market. Our simulations verify our analysis.",,978-1-5386-3981-8,10.1109/ICCNEA.2017.112,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8128561,Price Competition;IaaS;CSP,Cloud computing;Computational modeling;Pricing;Delays;Quality of service;Resource management,cloud computing;pricing;Web services,IaaS cloud market;cloud computing;cloud services;cloud resources;Service cloud market;optimal pricing;delay sensitive cloud users;CSP revenues,,2.0,,20.0,IEEE,7 Dec 2017,,,IEEE,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,
68,Research on Data Security Access Model of Cloud Computing Platform,Y. Zhu; J. Zuo,"Electronic and Information, Foshan University, Foshan City, China; Electronic and Information, Foshan University, Foshan City, China",2015 2nd International Conference on Information Science and Control Engineering,11 Jun 2015,2015.0,,,424,428,"Cloud computing is a new Internet application mode, has very large scale, virtualization, high reliability, versatility and low cost characteristics. Cloud computing technologies can dynamically manage millions of the computer resources, and on demand assign to a global user. It appears to completely change the old Internet application mode. Since the data was stored in the remote cloud computing platform, thus brought new challenges to information security, for example, disclosure of data, hacker attacks, Trojans and viruses seriously threat user data security. A strict information security scheme must be established, then users can use cloud computing technologies. From based on USB key user authentication, based on attributes access control and data detection, the data security access of cloud computing platform was studied, to provide a secure solution for the user.",,978-1-4673-6850-6,10.1109/ICISCE.2015.99,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7120639,Cloud Computing;Public Key Infrastructure;USB Key;Authentication;Model,Universal Serial Bus;Authentication;Public key;Certification;Cloud computing;Servers,authorisation;cloud computing;computer viruses;public key cryptography;virtualisation,data security access model;Internet application mode;virtualization;dynamic computer resource management;data storage;remote cloud computing platform;information security;data disclosure;hacker attacks;Trojans;computer viruses;strict-information security scheme;USB key user authentication;access control;data detection,,,,10.0,IEEE,11 Jun 2015,,,IEEE,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,
69,A Highly Practical Approach toward Achieving Minimum Data Sets Storage Cost in the Cloud,D. Yuan; Y. Yang; X. Liu; W. Li; L. Cui; M. Xu; J. Chen,"Faculty of Information and Communication Technologies, Swinburne University of Technology, Hawthorn, VIC, Australia; Faculty of Information and Communication Technologies, Swinburne University of Technology, Hawthorn, VIC, Australia; Faculty of Information and Communication Technologies, Swinburne University of Technology, Hawthorn, VIC, Australia; Faculty of Information and Communication Technologies, Swinburne University of Technology, Hawthorn, VIC, Australia; School of Computer Science and Technology, Shandong University, Jinan, Shandong, China; School of Computer Science and Technology, Shandong University, Jinan, Shandong, China; Faculty of Engineering and Information Technology, University of Technology, Sydney, NSW, Australia",IEEE Transactions on Parallel and Distributed Systems,24 Apr 2013,2013.0,24.0,6,1234,1244,"Massive computation power and storage capacity of cloud computing systems allow scientists to deploy computation and data intensive applications without infrastructure investment, where large application data sets can be stored in the cloud. Based on the pay-as-you-go model, storage strategies and benchmarking approaches have been developed for cost-effectively storing large volume of generated application data sets in the cloud. However, they are either insufficiently cost-effective for the storage or impractical to be used at runtime. In this paper, toward achieving the minimum cost benchmark, we propose a novel highly cost-effective and practical storage strategy that can automatically decide whether a generated data set should be stored or not at runtime in the cloud. The main focus of this strategy is the local-optimization for the tradeoff between computation and storage, while secondarily also taking users' (optional) preferences on storage into consideration. Both theoretical analysis and simulations conducted on general (random) data sets as well as specific real world applications with Amazon's cost model show that the cost-effectiveness of our strategy is close to or even the same as the minimum cost benchmark, and the efficiency is very high for practical runtime utilization in the cloud.",1558-2183,,10.1109/TPDS.2013.20,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6410317,Data sets storage;computation-storage tradeoff;computation- and data-intensive applications;cloud computing,Benchmark testing;Computational modeling;Materials;Runtime;Delay;Algorithm design and analysis;Cloud computing,cloud computing;costing;storage management,highly practical approach;minimum data sets storage cost;cloud computing systems;computation power;storage capacity;pay-as-you-go model;storage strategy;benchmarking approach;minimum cost benchmark;local-optimization;Amazon cost model,,62.0,,32.0,IEEE,14 Jan 2013,,,IEEE,IEEE Journals,,,,,,,,,,,,,,,,,,,,,
70,Resource Allocation Based on Double Auction for Cloud Computing System,L. Xu; J. Wang; A. Nallanathan; Y. Li,"School of Computer Science and Engineering, Nanjing University of Science and Technology, Nanjing, China; School of Computer Science and Engineering, Nanjing University of Science and Technology, Nanjing, China; Department of Informatics, King's College London, London, U.K; College of Economics and Management, Nanjing Forestry University, Nanjing, China",2016 IEEE 18th International Conference on High Performance Computing and Communications; IEEE 14th International Conference on Smart City; IEEE 2nd International Conference on Data Science and Systems (HPCC/SmartCity/DSS),26 Jan 2017,2016.0,,,1538,1543,"Cloud computing is a new commercial model with distributed computing, utility computing, and grid computing. In many situations, both the cloud service providers (CSPs) and cloud service users maximize their earnings. Consequently, how to resolve the resource allocation and determine the transaction pricing between CSPs and users is a big challenge. In this paper, we propose a double auction-based cloud resource allocation and pricing model, which improves the auction efficiency. In this model, the profit of the middle auctioneer is taken into consideration, and a reliability mechanism is added to the model. The price for the CSPs is designed based on the resource price and the reliability index. Finally, a resource allocation algorithm is proposed. Simulation results demonstrate that the proposed algorithm reduces the number of auction rounds, and improves the auction efficiency very well.",,978-1-5090-4297-5,10.1109/HPCC-SmartCity-DSS.2016.0221,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7828562,Cloud Computing;Reliability;Resource Allocation;Double Auction,Cloud computing;Resource management;Computational modeling;Reliability;Pricing;Economics;Indexes,cloud computing;grid computing;pricing;resource allocation;retail data processing;transaction processing;utility programs,transaction pricing;CSPs;cloud service providers;grid computing;utility computing;distributed computing;cloud computing system;double auction;resource allocation,,3.0,,28.0,IEEE,26 Jan 2017,,,IEEE,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,
71,Dependability analysis and optimal maintenance problem for open source cloud computing,Y. Tamura; S. Yamada,"Graduate School of Science and Engineering, Yamaguchi University, Ube, Japan; Graduate School of Engineering, Tottori University, Tottori, Japan","2012 IEEE International Conference on Systems, Man, and Cybernetics (SMC)",13 Dec 2012,2012.0,,,1592,1597,"A cloud computing is attracting attention as a network service to share the computing resources such as networks, servers, storage, applications, and services. We focus on a cloud computing environment by using open source software such as OpenStack and Eucalyptus because of the unification management of data, low cost. In this paper, we propose a new approach to software dependability assessment based on a stochastic differential equation model in order to consider the interesting aspect of the numbers of components and users. Also, we analyze actual data to show numerical examples of software dependability assessment considering such characteristics of cloud computing environment. Moreover, we formulate a total expected software cost model for the environment of cloud computing. Then, we discuss the determination of optimum software maintenance times minimizing the total expected software cost.",1062-922X,978-1-4673-1714-6,10.1109/ICSMC.2012.6377964,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6377964,Dependability;Modeling;Cloud computing;Open source software;Optimal maintenance problem,Cloud computing;Maintenance engineering;Software reliability;Computational modeling;Mathematical model,cloud computing;differential equations;public domain software;software cost estimation;software maintenance,dependability analysis;optimal maintenance problem;open source cloud computing;network service;OpenStack software;Eucalyptus software;open source software;data unification management;software dependability assessment;stochastic differential equation model;total expected software cost model;software maintenance time;software cost minimization,,4.0,,16.0,IEEE,13 Dec 2012,,,IEEE,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,
72,Optimal Pricing of Multi-model Hybrid System for PaaS Cloud Computing,H. Lu; X. Wu; W. Zhang; J. Liu,"School of Computer Engineering and Science, Shanghai University, Shanghai, China; State Key Laboratory for Novel Software Technology, Nanjing University, Nanjing, China; School of Computer Engineering and Science, Shanghai University, Shanghai, China; State Key Lab. Of Software Engineering, Wuhan University, Wuhan, China",2012 International Conference on Cloud and Service Computing,17 Jan 2013,2012.0,,,227,231,"Success of cloud computing service depends on an acceptable pricing model, especially in the PaaS. As a dynamic platform, PaaS layer depends on the infrastructure layer and extends to the application layer. How to find an optimal pricing policy is the problem for the cloud providers in face of stochastic and dynamic demand. In this paper, we present an approach of dynamic pricing model in order to get max profits. We analyze the model by a multi-condition hybrid system. But we also use a theory of revenue maximization and cost minimization. When at a current state, the system content cost minimization to build a hybrid system for revenue maximization, we will get the most profits.",,978-1-4673-4724-2,10.1109/CSC.2012.42,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6414504,cloud computing;dynamic pricing;multi-model hybrid system,Pricing;Cloud computing;Computational modeling;Mathematical model;Educational institutions;Optimal control;Equations,cloud computing;pricing,multimodel hybrid system;PaaS cloud computing;optimal pricing policy;dynamic pricing model;multicondition hybrid system;revenue maximization;cost minimization,,4.0,,17.0,IEEE,17 Jan 2013,,,IEEE,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,
73,Applications of neural-based spot market prediction for cloud computing,R. M. Wallace; V. Turchenko; M. Sheikhalishahi; I. Turchenko; V. Shults; J. L. Vazquez-Poletti; L. Grandinetti,"Dept. of Computer Arch., Automation Complutense University, Madrid, SPAIN; Innovative Computing Lab, University of Tennessee, Knoxville, TN, USA; Dept. of Electronics, Comp Sci. & Sys., University of Calabria, Rende(CS), ITALY; Dept. of Info. Comp. Sys. & Control, Ternopil National Economic University, Ternopil, UKRAINE; Dept. of Info. Comp. Sys. & Control, Ternopil National Economic University, Ternopil, UKRAINE; Dept. of Computer Arch., Automation Complutense University, Madrid, SPAIN; Dept. of Electronics, Comp Sci. & Sys., University of Calabria, Rende(CS), ITALY",2013 IEEE 7th International Conference on Intelligent Data Acquisition and Advanced Computing Systems (IDAACS),14 Nov 2013,2013.0,2.0,,710,716,"Advances in service-oriented architectures (SOA), virtualization, high-speed networks, and cloud computing has resulted in attractive pay-as-you-go services. Job scheduling on these systems results in commodity bidding for computing time. This bidding is institutionalized by Amazon for its Elastic Cloud Computing (EC2) environment and bidding methods exist for other cloud-computing vendors as well as multi-cloud and cluster computing brokers such as SpotCloud. Commodity bidding for computing has resulted in complex spot price models that have ad-hoc strategies to provide demand for excess capacity. In this paper we will discuss vendors who provide spot pricing and bidding and present a predictive model for future spot prices based on neural networking giving users a high confidence on future prices aiding bidding on commodity computing.",,978-1-4799-1429-6,10.1109/IDAACS.2013.6663017,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6663017,Spot Market;Cloud Computing;Resource Management;Scheduling;Cloud Computing;Neural-Networking;Algorithms,Cloud computing;Predictive models;Computational modeling;Biological system modeling;Data models;Neural networks;Electricity,cloud computing;neural nets;power engineering computing;power markets;service-oriented architecture,neural-based spot market prediction;service-oriented architectures;SOA;virtualization;high-speed networks;pay-as-you-go services;job scheduling;Amazon;elastic cloud computing environment;bidding methods;SpotCloud;multicloud brokers;cluster computing brokers;commodity bidding;commodity computing;neural networking,,25.0,,26.0,IEEE,14 Nov 2013,,,IEEE,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,
74,The Pricing of Cloud Computing with Preferential Policies,Z. Rui; T. Bingyong,"School of Management, Shanghai University of Engineering Science, Shanghai, China; Glorious Sun School of Business and Management, Donghua University, Shanghai, China",2016 IEEE 13th International Conference on e-Business Engineering (ICEBE),9 Jan 2017,2016.0,,,232,237,"At present, the studies of cloud computing pricing remain at a single period market, and the change of customer demand as well as carrier strategy has been neglected. In this paper, we discuss the dynamic pricing and marketing strategies of carriers in the two-stage market by adding the factor of discount, compare the pricing models of one-stage market and two-stage market, and analyze the effects of network effects, switching costs and transportation cost to the prices. The result shows that cloud computing carriers usually set a higher price in the first stage and then a lower price in the second stage, carriers set the prices for various types of customers on the basis of switching cost in the second stage of the market, cloud carriers can widen the gap with others and improve their revenue by improving the features of their services and products.",,978-1-5090-6119-8,10.1109/ICEBE.2016.047,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7809928,cloud computing;pricing;two-stage market;Preferential policies,Cloud computing;Pricing;Computational modeling;Mathematical model;Switches;Analytical models;Decision making,cloud computing;marketing data processing;pricing,cloud computing;preferential policies;single period market;customer demand;carrier strategy;dynamic pricing;marketing strategies;pricing models;network effects;transportation cost;switching costs,,1.0,,33.0,IEEE,9 Jan 2017,,,IEEE,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,
75,Refundable Service through Cloud Brokerage,A. A. Hossain; E. -N. Huh,"Department of Computer Engineering, Kyung Hee University, Yongin-si, South Korea; Department of Computer Engineering, Kyung Hee University, Yongin-si, South Korea",2013 IEEE Sixth International Conference on Cloud Computing,17 Feb 2014,2013.0,,,972,973,"As we know, cloud computing has already become a dominant computing paradigm with its significant impact on the distribution of computing resources and business attribution. However, due to the lack of fairness in pricing and SLA violation during the service in cloud computing, customers are dissatisfied with the existing pricing model of current cloud computing environment, and there have an immense chance to lose those discontented customers. Moreover, the cloud service provider's total business can be obstructed in the long run. Therefore, we wish to provide a solution that can preserve customers' appreciation by refundable service. In this paper, we propose a unique technique that can boost up customer satisfaction and diminish cloud service provider anxiety for continuing their business. Basically, we applied a third party cloud broker that can handle all of the business procedure instead of cloud service provider. Our method offers refunding in case of unutilized resource as well service quality degradation that is service level agreement (SLA) violation. The experiment results demonstrate different refund amount for cloud consumers' considering with several attribute.",2159-6190,978-0-7695-5028-2,10.1109/CLOUD.2013.115,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6740265,Refundable service;Service Level Agreement (SLA);Service Estimation;Pricing;Cloud Broker,Cloud computing;Pricing;Computational modeling;Radio frequency;Conferences;Degradation,cloud computing;contracts;pricing;quality of service,refundable service;cloud brokerage;cloud computing pricing fairness;cloud computing environment pricing model;customer appreciation;customer satisfaction propose;cloud service provider anxiety;third party cloud broker;service quality degradation,,5.0,,5.0,IEEE,17 Feb 2014,,,IEEE,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,
76,Smart Metering the Clouds,T. Singh; P. K. Vara,"VMware vExpert, Amsterdam, Netherlands; Bangalore, India",2009 18th IEEE International Workshops on Enabling Technologies: Infrastructures for Collaborative Enterprises,7 Jul 2009,2009.0,,,66,71,"As cloud computing becomes increasingly pervasive, the data center energy consumption attributable to cloud computing is climbing, despite the clarion call of action to reduce consumption and reverse environmental effects. At the same time, the rising cost of energy - due to regulatory measures enforcing a ""true cost"" of energy coupled with finite natural resources rapidly diminishing, resulting in scarcity - is refocusing IT leaders on efficiency and total cost of ownership (TCO), particularly in the context of the world-wide financial crisis. We propose a ""smart metering"" approach that encompasses all the stakeholders in the cloud computing ecosystem to achieve these twin goals of ""energy conservation"" and ""demand response"". As such, this paper introduces our initial thoughts on ""smart metering"" and various implications and implementation ideas related to it.",1524-4547,978-0-7695-3683-5,10.1109/WETICE.2009.49,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5159216,,Costs;Cloud computing;Energy consumption;Ecosystems;Global warming;Grid computing;Energy efficiency;Distributed computing;Cooling;Conferences,computer centres;energy conservation;environmental factors;power aware computing,smart metering;pervasive computing;data center energy consumption;cloud computing ecosystem;energy conservation;demand response,,26.0,1.0,37.0,IEEE,7 Jul 2009,,,IEEE,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,
77,The Research on Resource Scheduling Based on Fuzzy Clustering in Cloud Computing,W. Xiaojun; W. Yun; H. Zhe; D. Juan,"Jiangsu Open University, The Open University of China youth topic for 2014-2015 (G14A1401Q), Nanjing, Jiangsu, China; Jiangsu Open University, The Open University of China youth topic for 2014-2015 (G14A1401Q), Nanjing, Jiangsu, China; Jiangsu Open University, The Open University of China youth topic for 2014-2015 (G14A1401Q), Nanjing, Jiangsu, China; Jiangsu Open University, The Open University of China youth topic for 2014-2015 (G14A1401Q), Nanjing, Jiangsu, China",2015 8th International Conference on Intelligent Computation Technology and Automation (ICICTA),19 May 2016,2015.0,,,1025,1028,"In this paper, the assignment performance problem in the process of the allocation resources has not been considered in the present most cloud computing data center, this paper proposes a new cloud computing resources allocation strategy, on the basis of cost model of the parallel task performance, using the improved Fuzzy Clustering Algorithm (CBFCM - C Cost based Fuzzy Clustering Algorithm) to classify the cloud computing resources set on the service level of user, and the jobs submitted by guest were analyzed using four different scheduling algorithms, and the generated resource scheduling scheme. The experimental results show that job scheduling strategy based on CBFCM resources classification in the cloud computing services have certain advantages. AFCFS job scheduling algorithm in average response time for ART, the average waiting time AWT, average operating cost of ACP performance items, has great advantage than the other three algorithm.",,978-1-4673-7644-0,10.1109/ICICTA.2015.258,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7473478,Cloud Computing;Parallel Tasks;Fuzzy Clustering;Performance Costs,Cloud computing;Classification algorithms;Scheduling;Clustering algorithms;Algorithm design and analysis;Scheduling algorithms,cloud computing;costing;fuzzy set theory;pattern clustering;resource allocation,assignment performance problem;resource allocation;cloud computing data center;parallel task performance;cost based fuzzy clustering algorithm;cloud computing resources set;resource scheduling scheme;CBFCM resources classification;AFCFS job scheduling algorithm;average response time;ART;average waiting time;AWT;average operating cost;ACP performance items,,3.0,,8.0,IEEE,19 May 2016,,,IEEE,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,
78,Data-Driven Workflows in Multi-cloud Marketplaces,J. D. Montes; M. Zou; R. Singh; S. Tao; M. Parashar,"Rutgers The State University of New Jersey, New Brunswick, NJ, US; Rutgers Discovery Informatics Institute, Rutgers University, USA; BM T. J. Watson Research Center, USA; BM T. J. Watson Research Center, USA; Rutgers Discovery Informatics Institute, Rutgers University, USA",2014 IEEE 7th International Conference on Cloud Computing,4 Dec 2014,2014.0,,,168,175,"Cloud computing is emerging as a viable platform for scientific exploration. The ideas of on-demand access to resources, ""unlimited"" resources as well as interesting pricing models are making scientist to move their workflows into cloud computing. However, the amount of services and different pricing models offered by the providers often overwhelm users when deciding which option is best for them. Moreover, interoperability across providers remains an open topic that forces users to develop specific solutions for each provider. In this paper, we present a service framework that enables the autonomic execution of dynamic workflows in multi-cloud environments. It also allows users to customize scheduling policies to use those resources that best fit their needs. To demonstrate the benefits of this framework, we study the execution of a real scientific workflow, with data dependencies across stages, in a multi-cloud federation using different policies and objective functions.",2159-6190,978-1-4799-5063-8,10.1109/CLOUD.2014.32,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6973738,Data-driven workflow;Autonomics;Cloud computing;Software-defined infrastructure,Cloud computing;Computational modeling;Scheduling;Pricing;Linear programming;Schedules;Optimization,cloud computing;open systems;scheduling;scientific information systems,data-driven workflow;multicloud marketplaces;cloud computing;scientific exploration;pricing model;interoperability;autonomic execution;dynamic workflow;multicloud environment;scheduling policy;real scientific workflow;data dependency;multicloud federation,,11.0,,31.0,IEEE,4 Dec 2014,,,IEEE,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,
